[10:02:08]	LightRinger has connected.
[10:03:29]	LightRinger created the character 'R1-D3'
[10:03:29]	LightRinger loaded the character 'R2-k0'
[10:03:46]	[OOC] R2-k0: what the fuck
[10:04:52]	R2-k0 has taken 2500 damage from Pit of Agony.
[10:04:52]	Pit of Agony has killed R2-k0.
[10:06:22]	R2-k0 has taken 2500 damage from Pit of Agony.
[10:06:22]	Pit of Agony has killed R2-k0.
[10:08:57]	R2-k0 has taken 9 damage from worldspawn.
[10:09:10]	LightRinger loaded the character 'Private TK-3822'
[10:10:17]	Private TK-3822 has taken 8 damage from worldspawn.
[10:16:49]	The OverwatchVoice has connected.
[10:16:52]	Private TK-3822 has taken 1 damage from env_fire.
[10:18:37]	The OverwatchVoice loaded the character 'Trooper Third Class Rex Barkow'
[10:20:15]	Trooper Third Class Rex Barkow ran 'Equip' on item 'SE-14c Blaster' (#2406)
[10:21:25]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:26]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:27]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:28]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:29]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:30]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:30]	Private TK-3822 ran 'Power' on item 'Comlink' (#2402)
[10:21:31]	Private TK-3822 ran 'EquipUn' on item 'E-11 Blaster' (#2404)
[10:21:31]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:32]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:33]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:34]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:35]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:36]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:37]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:39]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:40]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:41]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:42]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:43]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:44]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:45]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:46]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:47]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:48]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:49]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:50]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:51]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:52]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:53]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:54]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:55]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:56]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:57]	Private TK-3822 has taken 1 damage from env_fire.
[10:21:58]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:00]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:01]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:02]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:03]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:04]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:05]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:06]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:07]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:08]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:09]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:10]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:11]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:11]	Doughnut has connected.
[10:22:12]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:13]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:14]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:15]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:16]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:17]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:18]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:19]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:21]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:22]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:23]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:24]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:25]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:26]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:27]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:28]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:32]	Private TK-3822 has taken 1 damage from env_fire.
[10:22:32]	env_fire has killed Private TK-3822.
[10:23:06]	Doughnut loaded the character 'Lieutenant Shunk Tump'
[10:23:13]	[OOC] Lieutenant Shunk Tump: wooooo server bromken
[10:23:18]	[OOC] Trooper Third Class Rex Barkow: ye
[10:23:41]	[OOC] Trooper Third Class Rex Barkow: owner said he will change map
[10:23:56]	[OOC] Lieutenant Shunk Tump: it was changed last night but i guess it crashed again and rolled back
[10:23:57]	Private TK-3822 has taken 8 damage from worldspawn.
[10:24:09]	Private TK-3822 ran 'Equip' on item 'E-11 Blaster' (#2404)
[10:24:11]	[OOC] Trooper Third Class Rex Barkow: probably
[10:24:21]	[OOC] Lieutenant Shunk Tump: yall just vibin in the tomb
[10:24:25]	[OOC] Trooper Third Class Rex Barkow: yeh
[10:24:25]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:24:36]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:24:39]	[OOC] Trooper Third Class Rex Barkow: Qi was going to change our models too
[10:24:42]	[OOC] Trooper Third Class Rex Barkow: so we waiting on that
[10:24:57]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:24:59]	Lieutenant Shunk Tump has taken 2500 damage from Pit of Agony.
[10:24:59]	Pit of Agony has killed Lieutenant Shunk Tump.
[10:25:08]	Private TK-3822 has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[10:25:09]	[OOC] Lieutenant Shunk Tump: aight
[10:25:12]	Private TK-3822 has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[10:25:15]	Private TK-3822 has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[10:25:37]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:25:58]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:26:00]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:26:06]	Private TK-3822 has spawned 'models/props_c17/shelfunit01a.mdl'.
[10:26:10]	Private TK-3822 has spawned 'models/props_c17/shelfunit01a.mdl'.
[10:26:22]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:29:09]	Private TK-3822 used command '/CharDesc'.
[10:29:11]	Private TK-3822 used command '/CharDesc A male ISB Senior Agent Standing at 5'9 / Age: 36 / Black eyes and Brown Hair / Has ISB combative Uniform on / HP: Coruscant'.
[10:29:51]	Trooper Third Class Rex Barkow used command '/CharDesc A male Standing at 5'9 / Looking at his 30's / Black eyes and Brown Hair / Has ISB combative Uniform on / HP: Coruscant'.
[10:30:08]	Private TK-3822 used command '/CharDesc'.
[10:30:09]	Private TK-3822 used command '/CharDesc A male Imperial Commodore Standing at 5'9 / Age: 36 / Black eyes and Black Hair / Has Commodore Uniform On / HP: Coruscant'.
[10:30:29]	Private TK-3822 used command '/CharDesc'.
[10:30:30]	Private TK-3822 used command '/CharDesc A male ISB Senior Agent Standing at 5'9 / Age: 36 / Black eyes and Brown Hair / Has ISB combative Uniform on / HP: Coruscant'.
[10:30:48]	Private TK-3822 has taken 25 damage from Private TK-3822.
[10:30:48]	Private TK-3822 has taken 25 damage from Private TK-3822.
[10:30:48]	Private TK-3822 has taken 25 damage from Private TK-3822.
[10:31:49]	Trooper Third Class Rex Barkow ran 'Equip' on item 'Defender Pistol' (#2412)
[10:32:31]	Trooper Third Class Rex Barkow ran 'Equip' on item 'DH-17 Blaster' (#2374)
[10:32:39]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'E-11 Blaster' (#2415)
[10:32:40]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Stun Blaster' (#1615)
[10:32:46]	Private TK-3822 has taken 2 damage from Trooper Third Class Rex Barkow.
[10:33:10]	Private TK-3822 has taken 2 damage from Trooper Third Class Rex Barkow.
[10:33:16]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'E-11 Stun Blaster' (#1615)
[10:33:18]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Blaster' (#2415)
[10:33:31]	Private TK-3822 has taken 25 damage from Private TK-3822.
[10:33:31]	Private TK-3822 has killed Private TK-3822.
[10:34:23]	Private TK-3822 has taken 25 damage from worldspawn.
[10:34:23]	Private TK-3822 has taken 2500 damage from Pit of Agony.
[10:34:23]	Pit of Agony has killed Private TK-3822.
[10:35:35]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:35:47]	Private TK-3822 has spawned 'models/props_c17/FurnitureCupboard001a.mdl'.
[10:35:51]	Private TK-3822 has spawned 'models/props_c17/FurnitureCupboard001a.mdl'.
[10:35:55]	Private TK-3822 has spawned 'models/props_c17/FurnitureCupboard001a.mdl'.
[10:36:11]	Private TK-3822 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[10:36:21]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:36:38]	Private TK-3822 has spawned 'models/props_c17/fence03a.mdl'.
[10:37:27]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:37:49]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:37:49]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:37:49]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:37:49]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:37:49]	Lieutenant Shunk Tump has killed Lieutenant Shunk Tump.
[10:37:53]	Private TK-3822 has taken 3 damage from Trooper Third Class Rex Barkow.
[10:37:54]	Private TK-3822 has taken 24 damage from Trooper Third Class Rex Barkow.
[10:37:58]	Private TK-3822 has taken 3 damage from Trooper Third Class Rex Barkow.
[10:38:15]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:38:15]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:38:15]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:38:15]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:38:15]	Lieutenant Shunk Tump has killed Lieutenant Shunk Tump.
[10:38:18]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:38:18]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:38:18]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:38:18]	Private TK-3822 has killed Trooper Third Class Rex Barkow with weapon_lightsaber.
[10:38:35]	Private TK-3822 has taken 25 damage from Private TK-3822.
[10:38:35]	Private TK-3822 has taken 25 damage from Private TK-3822.
[10:38:35]	Private TK-3822 has taken 25 damage from Private TK-3822.
[10:38:35]	Private TK-3822 has killed Private TK-3822.
[10:38:36]	Trooper Third Class Rex Barkow ran 'Equip' on item 'DH-17 Blaster' (#2374)
[10:38:53]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:38:53]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:38:53]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:38:53]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:38:53]	Private TK-3822 has killed Lieutenant Shunk Tump with weapon_lightsaber.
[10:39:08]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:08]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:08]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:08]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:08]	Private TK-3822 has killed Lieutenant Shunk Tump with weapon_lightsaber.
[10:39:16]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:39:16]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:39:16]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:39:16]	Lieutenant Shunk Tump has taken 25 damage from Lieutenant Shunk Tump.
[10:39:16]	Lieutenant Shunk Tump has killed Lieutenant Shunk Tump.
[10:39:28]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:28]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:34]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Blaster' (#2415)
[10:39:36]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:36]	Lieutenant Shunk Tump has taken 25 damage from Private TK-3822.
[10:39:36]	Private TK-3822 has killed Lieutenant Shunk Tump with weapon_lightsaber.
[10:39:36]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'E-11 Blaster' (#2415)
[10:39:37]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Stun Blaster' (#1615)
[10:39:38]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:39:38]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:39:38]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:39:38]	Trooper Third Class Rex Barkow has taken 25 damage from Private TK-3822.
[10:39:38]	Private TK-3822 has killed Trooper Third Class Rex Barkow with weapon_lightsaber.
[10:39:44]	Trooper Third Class Rex Barkow ran 'Equip' on item 'E-11 Stun Blaster' (#1615)
[10:39:46]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:39:47]	[OOC] Private TK-3822: so
[10:39:49]	Private TK-3822 has taken 2 damage from Trooper Third Class Rex Barkow.
[10:39:56]	Private TK-3822 has taken 2 damage from Trooper Third Class Rex Barkow.
[10:40:02]	Private TK-3822 has taken 2 damage from Trooper Third Class Rex Barkow.
[10:40:04]	[OOC] Private TK-3822: How are you using it ?
[10:40:10]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:40:18]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:40:28]	Lieutenant Shunk Tump has taken 49 damage from worldspawn.
[10:40:30]	[OOC] Private TK-3822: and force ?
[10:40:48]	[OOC] Trooper Third Class Rex Barkow: holly
[10:40:52]	[OOC] Private TK-3822: and how do I use them ?
[10:40:57]	[OOC] Lieutenant Shunk Tump: m2
[10:41:01]	Lieutenant Shunk Tump has taken 43 damage from worldspawn.
[10:41:12]	Lieutenant Shunk Tump has taken 1 damage from Private TK-3822.
[10:41:12]	Lieutenant Shunk Tump has taken 1 damage from Private TK-3822.
[10:41:12]	Lieutenant Shunk Tump has taken 1 damage from Private TK-3822.
[10:41:12]	Lieutenant Shunk Tump has taken 1 damage from Private TK-3822.
[10:41:12]	Lieutenant Shunk Tump has taken 1 damage from Private TK-3822.
[10:41:12]	Lieutenant Shunk Tump has taken 1 damage from Private TK-3822.
[10:41:13]	[OOC] Trooper Third Class Rex Barkow: well
[10:41:15]	[OOC] Trooper Third Class Rex Barkow: I am stuck
[10:41:18]	Lieutenant Shunk Tump has taken 13 damage from worldspawn.
[10:41:18]	worldspawn has killed Lieutenant Shunk Tump.
[10:41:22]	Trooper Third Class Rex Barkow ran 'Equip' on item 'DH-17 Blaster' (#2374)
[10:41:22]	[OOC] Lieutenant Shunk Tump: rip
[10:41:26]	ZeakRold has connected.
[10:41:29]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'DH-17 Blaster' (#2374)
[10:41:30]	Trooper Third Class Rex Barkow ran 'Equip' on item 'Defender Pistol' (#2412)
[10:41:32]	[OOC] Private TK-3822: are you able to deflect shots ? :D
[10:41:35]	[OOC] Trooper Third Class Rex Barkow: I am stuck
[10:41:36]	[OOC] Trooper Third Class Rex Barkow: help
[10:41:39]	ZeakRold loaded the character 'Agent Zeak Rold'
[10:41:41]	Trooper Third Class Rex Barkow ran 'Equip' on item 'SE-14c Blaster' (#2406)
[10:41:42]	Trooper Third Class Rex Barkow ran 'EquipUn' on item 'Defender Pistol' (#2412)
[10:42:00]	Lieutenant Shunk Tump used command '/ToggleRaise'.
[10:42:05]	Private TK-3822 has taken 28 damage from worldspawn.
