[00:59:56]	Doughnut has connected.
[01:00:54]	Doughnut created the character 'Doughnut'
[01:00:54]	Doughnut has gained a 'Suitcase' #21.
[01:00:54]	Doughnut has gained a 'Relocation Coupon' #22.
[01:00:54]	Doughnut loaded the character 'Doughnut'
[01:00:54]	Doughnut has taken 1 damage from worldspawn.
[01:00:55]	Doughnut has taken 1 damage from worldspawn.
[01:00:55]	Doughnut has taken 1 damage from worldspawn.
[01:00:56]	Doughnut has taken 1 damage from worldspawn.
[01:00:57]	Doughnut has taken 1 damage from worldspawn.
[01:00:58]	Doughnut has taken 1 damage from worldspawn.
[01:00:58]	Doughnut has taken 1 damage from worldspawn.
[01:00:59]	Doughnut has taken 1 damage from worldspawn.
[01:01:00]	Doughnut has taken 1 damage from worldspawn.
[01:01:01]	Doughnut has taken 1 damage from worldspawn.
[01:01:01]	Doughnut has taken 1 damage from worldspawn.
[01:01:02]	Doughnut has taken 1 damage from worldspawn.
[01:01:03]	Doughnut has taken 1 damage from worldspawn.
[01:01:04]	Doughnut has taken 1 damage from worldspawn.
[01:01:04]	Doughnut has taken 1 damage from worldspawn.
[01:01:05]	Doughnut has taken 1 damage from worldspawn.
[01:01:06]	Doughnut has taken 1 damage from worldspawn.
[01:01:07]	Doughnut has taken 1 damage from worldspawn.
[01:01:07]	[OOC] Doughnut: help
[01:01:07]	Doughnut has taken 1 damage from worldspawn.
[01:01:08]	Doughnut has taken 1 damage from worldspawn.
[01:01:09]	Doughnut has taken 1 damage from worldspawn.
[01:01:10]	Doughnut has taken 1 damage from worldspawn.
[01:01:11]	Doughnut has taken 1 damage from worldspawn.
[01:01:11]	Doughnut has taken 1 damage from worldspawn.
[01:01:12]	Doughnut has taken 1 damage from worldspawn.
[01:01:13]	Doughnut has taken 1 damage from worldspawn.
[01:01:14]	Doughnut has taken 1 damage from worldspawn.
[01:01:14]	Doughnut has taken 1 damage from worldspawn.
[01:01:15]	Doughnut has taken 1 damage from worldspawn.
[01:01:16]	Doughnut has taken 1 damage from worldspawn.
[01:01:17]	Doughnut has taken 1 damage from worldspawn.
[01:01:17]	Doughnut has taken 1 damage from worldspawn.
[01:01:18]	Doughnut has taken 1 damage from worldspawn.
[01:01:19]	Doughnut has taken 1 damage from worldspawn.
[01:01:20]	Doughnut has taken 1 damage from worldspawn.
[01:01:20]	Doughnut has taken 1 damage from worldspawn.
[01:01:21]	Doughnut has taken 1 damage from worldspawn.
[01:01:22]	Doughnut has taken 1 damage from worldspawn.
[01:01:23]	Doughnut has taken 1 damage from worldspawn.
[01:01:23]	Doughnut has taken 1 damage from worldspawn.
[01:01:24]	Doughnut has taken 1 damage from worldspawn.
[01:01:25]	Doughnut has taken 1 damage from worldspawn.
[01:01:26]	Doughnut has taken 1 damage from worldspawn.
[01:01:26]	Doughnut has taken 1 damage from worldspawn.
[01:01:27]	Doughnut has taken 1 damage from worldspawn.
[01:01:28]	Doughnut has taken 1 damage from worldspawn.
[01:01:29]	Doughnut has taken 1 damage from worldspawn.
[01:01:29]	Doughnut has taken 1 damage from worldspawn.
[01:01:30]	Doughnut has taken 1 damage from worldspawn.
[01:01:31]	Doughnut has taken 1 damage from worldspawn.
[01:01:32]	Doughnut has taken 1 damage from worldspawn.
[01:01:32]	Doughnut has taken 1 damage from worldspawn.
[01:01:33]	Doughnut has taken 1 damage from worldspawn.
[01:01:34]	Doughnut has taken 1 damage from worldspawn.
[01:01:35]	Doughnut has taken 1 damage from worldspawn.
[01:01:36]	Doughnut has taken 1 damage from worldspawn.
[01:01:36]	Doughnut has taken 1 damage from worldspawn.
[01:01:37]	Doughnut has taken 1 damage from worldspawn.
[01:01:38]	Doughnut has taken 1 damage from worldspawn.
[01:01:39]	Doughnut has taken 1 damage from worldspawn.
[01:01:39]	Doughnut has taken 1 damage from worldspawn.
[01:01:40]	Doughnut has taken 1 damage from worldspawn.
[01:01:41]	Doughnut has taken 1 damage from worldspawn.
[01:01:42]	Doughnut has taken 1 damage from worldspawn.
[01:01:42]	Doughnut has taken 1 damage from worldspawn.
[01:01:43]	Doughnut has taken 1 damage from worldspawn.
[01:01:44]	Doughnut has taken 1 damage from worldspawn.
[01:01:45]	Doughnut has taken 1 damage from worldspawn.
[01:01:45]	Doughnut has taken 1 damage from worldspawn.
[01:01:46]	Doughnut has taken 1 damage from worldspawn.
[01:01:47]	Doughnut has taken 1 damage from worldspawn.
[01:01:48]	Doughnut has taken 1 damage from worldspawn.
[01:01:48]	Doughnut has taken 1 damage from worldspawn.
[01:01:49]	Doughnut has taken 1 damage from worldspawn.
[01:01:50]	Doughnut has taken 1 damage from worldspawn.
[01:01:51]	Doughnut has taken 1 damage from worldspawn.
[01:01:51]	Doughnut has taken 1 damage from worldspawn.
[01:01:52]	Doughnut has taken 1 damage from worldspawn.
[01:01:53]	Doughnut has taken 1 damage from worldspawn.
[01:01:54]	Doughnut has taken 1 damage from worldspawn.
[01:01:54]	Doughnut has taken 1 damage from worldspawn.
[01:01:55]	Doughnut has taken 1 damage from worldspawn.
[01:01:56]	Doughnut has taken 1 damage from worldspawn.
[01:01:57]	Doughnut has taken 1 damage from worldspawn.
[01:01:57]	Doughnut has taken 1 damage from worldspawn.
[01:01:58]	Doughnut has taken 1 damage from worldspawn.
[01:01:59]	Doughnut has taken 1 damage from worldspawn.
[01:02:00]	Doughnut has taken 1 damage from worldspawn.
[01:02:01]	Doughnut has taken 1 damage from worldspawn.
[01:02:01]	Doughnut has taken 1 damage from worldspawn.
[01:02:02]	Doughnut has taken 1 damage from worldspawn.
[01:02:03]	Doughnut has taken 1 damage from worldspawn.
[01:02:04]	Doughnut has taken 1 damage from worldspawn.
[01:02:04]	Doughnut has taken 1 damage from worldspawn.
[01:02:05]	Doughnut has taken 1 damage from worldspawn.
[01:02:06]	Doughnut has taken 1 damage from worldspawn.
[01:02:07]	Doughnut has taken 1 damage from worldspawn.
[01:02:07]	Doughnut has taken 1 damage from worldspawn.
[01:02:08]	Doughnut has taken 1 damage from worldspawn.
[01:02:09]	Doughnut has taken 1 damage from worldspawn.
[01:02:09]	worldspawn has killed Doughnut.
[01:03:10]	Doughnut has taken 1 damage from worldspawn.
[01:03:10]	Doughnut has taken 1 damage from worldspawn.
[01:03:11]	Doughnut has taken 1 damage from worldspawn.
[01:03:12]	Doughnut has taken 1 damage from worldspawn.
[01:03:13]	Doughnut has taken 1 damage from worldspawn.
[01:03:13]	Doughnut has taken 1 damage from worldspawn.
[01:03:14]	Doughnut has taken 1 damage from worldspawn.
[01:03:15]	Doughnut has taken 1 damage from worldspawn.
[01:03:16]	Doughnut has taken 1 damage from worldspawn.
[01:03:16]	Doughnut has taken 1 damage from worldspawn.
[01:03:17]	Doughnut has taken 1 damage from worldspawn.
[01:03:18]	Doughnut has taken 1 damage from worldspawn.
[01:03:19]	Doughnut has taken 1 damage from worldspawn.
[01:03:19]	Doughnut has taken 1 damage from worldspawn.
[01:03:20]	Doughnut has taken 1 damage from worldspawn.
[01:03:21]	Doughnut has taken 1 damage from worldspawn.
[01:03:22]	Doughnut has taken 1 damage from worldspawn.
[01:03:22]	Doughnut has taken 1 damage from worldspawn.
[01:03:23]	Doughnut has taken 1 damage from worldspawn.
[01:03:24]	Doughnut has taken 1 damage from worldspawn.
[01:03:25]	Doughnut has taken 1 damage from worldspawn.
[01:03:26]	Doughnut has taken 1 damage from worldspawn.
[01:03:26]	Doughnut has taken 1 damage from worldspawn.
[01:03:27]	Doughnut has taken 1 damage from worldspawn.
[01:03:28]	Doughnut has taken 1 damage from worldspawn.
[01:03:29]	Doughnut has taken 1 damage from worldspawn.
[01:03:29]	Doughnut has taken 1 damage from worldspawn.
[01:03:30]	Doughnut has taken 1 damage from worldspawn.
[01:03:31]	Doughnut has taken 1 damage from worldspawn.
[01:03:32]	Doughnut has taken 1 damage from worldspawn.
[01:03:32]	Doughnut has taken 1 damage from worldspawn.
[01:03:33]	Doughnut has taken 1 damage from worldspawn.
[01:03:34]	Doughnut has taken 1 damage from worldspawn.
[01:03:35]	Doughnut has taken 1 damage from worldspawn.
[01:03:35]	Doughnut has taken 1 damage from worldspawn.
[01:03:36]	Doughnut has taken 1 damage from worldspawn.
[01:03:37]	Doughnut has taken 1 damage from worldspawn.
[01:03:38]	Doughnut has taken 1 damage from worldspawn.
[01:03:38]	Doughnut has taken 1 damage from worldspawn.
[01:03:39]	Doughnut has taken 1 damage from worldspawn.
[01:03:40]	Doughnut has taken 1 damage from worldspawn.
[01:03:41]	Doughnut has taken 1 damage from worldspawn.
[01:03:41]	Doughnut has taken 1 damage from worldspawn.
[01:03:42]	Doughnut has taken 1 damage from worldspawn.
[01:03:43]	Doughnut has taken 1 damage from worldspawn.
[01:03:44]	Doughnut has taken 1 damage from worldspawn.
[01:03:44]	Doughnut has taken 1 damage from worldspawn.
[01:03:45]	Doughnut has taken 1 damage from worldspawn.
[01:03:46]	Doughnut has taken 1 damage from worldspawn.
[01:03:47]	Doughnut has taken 1 damage from worldspawn.
[01:03:47]	Doughnut has taken 1 damage from worldspawn.
[01:03:48]	Doughnut has taken 1 damage from worldspawn.
[01:03:49]	Doughnut has taken 1 damage from worldspawn.
[01:03:50]	Doughnut has taken 1 damage from worldspawn.
[01:03:51]	Doughnut has taken 1 damage from worldspawn.
[01:03:51]	Doughnut has taken 1 damage from worldspawn.
[01:03:52]	Doughnut has taken 1 damage from worldspawn.
[01:03:53]	Doughnut has taken 1 damage from worldspawn.
[01:03:54]	Doughnut has taken 1 damage from worldspawn.
[01:03:54]	Doughnut has taken 1 damage from worldspawn.
[01:03:55]	Doughnut has taken 1 damage from worldspawn.
[01:03:56]	Doughnut has taken 1 damage from worldspawn.
[01:03:57]	Doughnut has taken 1 damage from worldspawn.
[01:03:57]	Doughnut has taken 1 damage from worldspawn.
[01:03:58]	Doughnut has taken 1 damage from worldspawn.
[01:03:59]	Doughnut has taken 1 damage from worldspawn.
[01:04:00]	Doughnut has taken 1 damage from worldspawn.
[01:04:00]	Doughnut has taken 1 damage from worldspawn.
[01:04:01]	Doughnut has taken 1 damage from worldspawn.
[01:04:02]	Doughnut has taken 1 damage from worldspawn.
[01:04:03]	Doughnut has taken 1 damage from worldspawn.
[01:04:03]	Doughnut has taken 1 damage from worldspawn.
[01:04:04]	Doughnut has taken 1 damage from worldspawn.
[01:04:05]	Doughnut has taken 1 damage from worldspawn.
[01:04:06]	Doughnut has taken 1 damage from worldspawn.
[01:04:06]	Doughnut has taken 1 damage from worldspawn.
[01:04:07]	Doughnut has taken 1 damage from worldspawn.
[01:04:08]	Doughnut has taken 1 damage from worldspawn.
[01:04:09]	Doughnut has taken 1 damage from worldspawn.
[01:04:09]	Doughnut has taken 1 damage from worldspawn.
[01:04:10]	Doughnut has taken 1 damage from worldspawn.
[01:04:11]	Doughnut has taken 1 damage from worldspawn.
[01:04:12]	Doughnut has taken 1 damage from worldspawn.
[01:04:12]	Doughnut has taken 1 damage from worldspawn.
[01:04:13]	Doughnut has taken 1 damage from worldspawn.
[01:04:14]	Doughnut has taken 1 damage from worldspawn.
[01:04:15]	Doughnut has taken 1 damage from worldspawn.
[01:04:16]	Doughnut has taken 1 damage from worldspawn.
[01:04:16]	Doughnut has taken 1 damage from worldspawn.
[01:04:17]	Doughnut has taken 1 damage from worldspawn.
[01:04:18]	Doughnut has taken 1 damage from worldspawn.
[01:04:19]	Doughnut has taken 1 damage from worldspawn.
[01:04:19]	Doughnut has taken 1 damage from worldspawn.
[01:04:20]	Doughnut has taken 1 damage from worldspawn.
[01:04:21]	Doughnut has taken 1 damage from worldspawn.
[01:04:22]	Doughnut has taken 1 damage from worldspawn.
[01:04:22]	Doughnut has taken 1 damage from worldspawn.
[01:04:23]	Doughnut has taken 1 damage from worldspawn.
[01:04:24]	Doughnut has taken 1 damage from worldspawn.
[01:04:25]	Doughnut has taken 1 damage from worldspawn.
[01:04:25]	worldspawn has killed Doughnut.
[01:05:25]	Doughnut has taken 1 damage from worldspawn.
[01:05:26]	Doughnut has taken 1 damage from worldspawn.
[01:05:27]	Doughnut has taken 1 damage from worldspawn.
[01:05:28]	Doughnut has taken 1 damage from worldspawn.
[01:05:28]	Doughnut has taken 1 damage from worldspawn.
[01:05:29]	Doughnut has taken 1 damage from worldspawn.
[01:05:30]	Doughnut has taken 1 damage from worldspawn.
[01:05:31]	Doughnut has taken 1 damage from worldspawn.
[01:05:31]	Doughnut has taken 1 damage from worldspawn.
[01:05:32]	Doughnut has taken 1 damage from worldspawn.
[01:05:33]	Doughnut has taken 1 damage from worldspawn.
[01:05:34]	Doughnut has taken 1 damage from worldspawn.
[01:05:34]	Doughnut has taken 1 damage from worldspawn.
[01:05:35]	Doughnut has taken 1 damage from worldspawn.
[01:05:36]	Doughnut has taken 1 damage from worldspawn.
[01:05:37]	Doughnut has taken 1 damage from worldspawn.
[01:05:37]	Doughnut has taken 1 damage from worldspawn.
[01:05:38]	Doughnut has taken 1 damage from worldspawn.
[01:05:39]	Doughnut has taken 1 damage from worldspawn.
[01:05:40]	Doughnut has taken 1 damage from worldspawn.
[01:05:41]	Doughnut has taken 1 damage from worldspawn.
[01:05:41]	Doughnut has taken 1 damage from worldspawn.
[01:05:42]	Doughnut has taken 1 damage from worldspawn.
[01:05:43]	Doughnut has taken 1 damage from worldspawn.
[01:05:44]	Doughnut has taken 1 damage from worldspawn.
[01:05:44]	Doughnut has taken 1 damage from worldspawn.
[01:05:45]	Doughnut has taken 1 damage from worldspawn.
[01:05:46]	Doughnut has taken 1 damage from worldspawn.
[01:05:47]	Doughnut has taken 1 damage from worldspawn.
[01:05:47]	Doughnut has taken 1 damage from worldspawn.
[01:05:48]	Doughnut has taken 1 damage from worldspawn.
[01:05:49]	Doughnut has taken 1 damage from worldspawn.
[01:05:50]	Doughnut has taken 1 damage from worldspawn.
[01:05:50]	Doughnut has taken 1 damage from worldspawn.
[01:05:51]	Doughnut has taken 1 damage from worldspawn.
[01:05:52]	Doughnut has taken 1 damage from worldspawn.
[01:05:53]	Doughnut has taken 1 damage from worldspawn.
[01:05:53]	Doughnut has taken 1 damage from worldspawn.
[01:05:54]	Doughnut has taken 1 damage from worldspawn.
[01:05:55]	Doughnut has taken 1 damage from worldspawn.
[01:05:56]	Doughnut has taken 1 damage from worldspawn.
[01:05:56]	Doughnut has taken 1 damage from worldspawn.
[01:05:57]	Doughnut has taken 1 damage from worldspawn.
[01:05:58]	Doughnut has taken 1 damage from worldspawn.
[01:05:59]	Doughnut has taken 1 damage from worldspawn.
[01:05:59]	Doughnut has taken 1 damage from worldspawn.
[01:06:00]	Doughnut has taken 1 damage from worldspawn.
[01:06:01]	Doughnut has taken 1 damage from worldspawn.
[01:06:02]	Doughnut has taken 1 damage from worldspawn.
[01:06:02]	Doughnut has taken 1 damage from worldspawn.
[01:06:03]	Doughnut has taken 1 damage from worldspawn.
[01:06:04]	Doughnut has taken 1 damage from worldspawn.
