[00:27:30]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[08:46:37]	matt saton has connected.
[08:49:57]	matt saton loaded the character 'Unknown'
[08:49:59]	Unknown entered observer.
[08:51:44]	Unknown exited observer at their location.
[08:51:45]	Unknown entered observer.
[08:51:51]	Unknown exited observer at their location.
[08:51:51]	Unknown entered observer.
[08:51:51]	Unknown exited observer at their location.
[08:51:55]	Unknown has spawned 'models/props_wasteland/kitchen_stove001a.mdl'.
[08:51:59]	Unknown entered observer.
[08:52:00]	Unknown exited observer at their location.
[08:52:06]	Unknown has spawned 'models/props_wasteland/kitchen_stove002a.mdl'.
[08:52:32]	Unknown entered observer.
[08:52:33]	Unknown exited observer at their location.
[08:56:39]	Unknown entered observer.
[08:56:44]	Unknown has spawned a 'Entity [302][ix_actorgeneric]'.
[08:56:45]	Unknown has spawned a 'Entity [393][ix_actorgeneric]'.
[08:56:46]	Unknown has spawned a 'Entity [302][ix_actorgeneric]'.
[08:56:56]	Unknown exited observer at their location.
[09:06:53]	Unknown entered observer.
[09:07:36]	Unknown exited observer at their location.
[09:08:25]	Unknown entered observer.
[09:08:26]	Unknown exited observer at their location.
[09:08:44]	Unknown entered observer.
[09:08:47]	Unknown exited observer at their location.
[09:08:48]	Unknown entered observer.
[09:08:49]	Unknown exited observer at their location.
[09:11:08]	Unknown entered observer.
[09:11:10]	Unknown exited observer at their location.
[09:11:38]	Unknown entered observer.
[09:11:39]	Unknown exited observer at their location.
[09:11:41]	Unknown entered observer.
[09:11:42]	Unknown exited observer at their location.
[09:11:42]	Unknown entered observer.
[09:11:42]	Unknown exited observer at their location.
[09:12:40]	Unknown entered observer.
[09:12:55]	Unknown exited observer at their location.
[09:12:58]	Unknown entered observer.
[09:14:36]	Unknown exited observer at their location.
[09:14:42]	Unknown has spawned a 'Entity [393][ix_actorgeneric]'.
[09:14:43]	Unknown has spawned a 'Entity [410][ix_actorgeneric]'.
[09:16:07]	Unknown rolled 5116 out of 9999.
[09:16:07]	Unknown used command '/Roll 9999'.
[09:19:18]	Unknown entered observer.
[09:19:27]	Unknown exited observer at their location.
[09:19:32]	Unknown has spawned a 'Entity [393][ix_actorgeneric]'.
[09:19:34]	Unknown has spawned a 'Entity [393][ix_actorgeneric]'.
[09:19:38]	Unknown has spawned a 'Entity [393][ix_actorgeneric]'.
[09:19:50]	Unknown rolled 4408 out of 9999.
[09:19:50]	Unknown used command '/Roll 9999'.
[09:22:01]	Unknown entered observer.
[09:22:18]	Unknown exited observer at their location.
[09:22:29]	Unknown entered observer.
[09:22:45]	Unknown exited observer at their location.
[09:23:05]	Unknown entered observer.
[09:23:10]	Unknown has spawned a 'Entity [413][ix_actorgeneric]'.
[09:23:11]	Unknown has spawned a 'Entity [414][ix_actorgeneric]'.
[09:23:15]	Unknown exited observer at their location.
[09:23:35]	Unknown entered observer.
[09:23:36]	Unknown exited observer at their location.
[09:23:37]	Unknown entered observer.
[09:23:37]	Unknown exited observer at their location.
[09:23:41]	Unknown has gained a 'Flashlight' #2738.
[09:23:41]	Unknown used command '/CharGiveItem unknown flashlight'.
[09:25:16]	Unknown entered observer.
[09:25:17]	Unknown exited observer at their location.
[09:25:26]	Unknown entered observer.
[09:25:26]	Unknown exited observer at their location.
[09:26:12]	Unknown entered observer.
[09:26:12]	Unknown exited observer at their location.
[09:26:14]	Unknown entered observer.
[09:26:24]	Unknown has spawned a 'Entity [413][ix_actorgeneric]'.
[09:26:28]	Unknown has spawned a 'Entity [413][ix_actorgeneric]'.
[09:26:30]	Unknown has spawned a 'Entity [413][ix_actorgeneric]'.
[09:26:45]	Unknown exited observer at their location.
[09:31:10]	Unknown entered observer.
[09:31:11]	Unknown exited observer at their location.
[09:32:42]	Unknown entered observer.
[09:33:05]	Unknown has spawned a 'Entity [415][ix_actorgeneric]'.
[09:33:06]	Unknown has spawned a 'Entity [419][ix_actorgeneric]'.
[09:33:17]	Unknown exited observer at their location.
[09:33:20]	Unknown entered observer.
[09:33:26]	Unknown exited observer at their location.
[09:33:41]	Unknown entered observer.
[09:33:51]	Unknown exited observer at their location.
[09:35:50]	Unknown entered observer.
[09:36:47]	Unknown exited observer at their location.
[09:37:39]	Unknown entered observer.
[09:38:33]	Unknown exited observer at their location.
[09:38:44]	Unknown entered observer.
[09:39:19]	Unknown has spawned a 'Entity [415][ix_actorgeneric]'.
[09:40:00]	Unknown exited observer at their location.
[09:40:43]	Unknown entered observer.
[09:40:53]	Unknown exited observer at their location.
[09:41:16]	Unknown entered observer.
[09:41:22]	Unknown exited observer at their location.
[09:41:22]	Unknown entered observer.
[09:41:23]	Unknown exited observer at their location.
[09:41:24]	Unknown entered observer.
[09:41:26]	Unknown exited observer at their location.
[09:41:26]	Unknown entered observer.
[09:41:27]	Unknown exited observer at their location.
[09:42:45]	Unknown entered observer.
[09:43:13]	Unknown has spawned a 'Entity [422][ix_actorgeneric]'.
[09:43:38]	Unknown exited observer at their location.
[09:45:08]	Unknown entered observer.
[09:45:14]	Unknown exited observer at their location.
[09:45:23]	Unknown entered observer.
[09:46:05]	Unknown exited observer at their location.
[09:46:06]	Unknown entered observer.
[09:46:14]	Unknown exited observer at their location.
[09:46:25]	Unknown has spawned 'models/hunter/plates/plate3x3.mdl'.
[09:46:26]	Unknown entered observer.
[09:46:27]	Unknown has spawned 'models/hunter/plates/plate4x4.mdl'.
[09:46:30]	Unknown has spawned 'models/hunter/plates/plate6x6.mdl'.
[09:46:32]	Unknown has spawned 'models/hunter/plates/plate16x16.mdl'.
[09:46:35]	Unknown has spawned 'models/hunter/plates/plate8x8.mdl'.
[09:46:44]	Unknown exited observer at their location.
[09:46:45]	Unknown entered observer.
[09:47:00]	Unknown exited observer at their location.
[09:47:56]	Unknown entered observer.
[09:47:57]	Unknown exited observer at their location.
[09:47:58]	Unknown entered observer.
[09:47:59]	Unknown exited observer at their location.
[09:48:18]	Unknown has spawned 'models/hunter/plates/plate2x2.mdl'.
[09:48:56]	Unknown entered observer.
[10:23:06]	Unknown exited observer at their location.
[10:23:08]	Unknown entered observer.
[10:23:09]	Unknown exited observer at their location.
[10:23:09]	Unknown entered observer.
[10:23:10]	Unknown exited observer at their location.
[10:23:10]	Unknown entered observer.
[10:23:11]	Unknown exited observer at their location.
[10:23:12]	Unknown entered observer.
[10:23:30]	Unknown exited observer at their location.
[10:23:31]	Unknown entered observer.
[10:23:31]	Unknown exited observer at their location.
[10:23:50]	Unknown has spawned 'models/props/starwars/furniture/tat_maxrebo_organ.mdl'.
[10:24:36]	Unknown has spawned a 'Entity [426][ix_actorgeneric]'.
[10:28:04]	Unknown has spawned a 'Entity [427][ix_actorgeneric]'.
[10:28:32]	Unknown entered observer.
[10:28:32]	Unknown exited observer at their location.
[10:28:33]	Unknown entered observer.
[10:28:33]	Unknown exited observer at their location.
[10:33:58]	Unknown entered observer.
[10:33:59]	Unknown exited observer at their location.
[10:33:59]	Unknown entered observer.
[10:34:03]	Unknown exited observer at their location.
[10:34:03]	Unknown entered observer.
[10:35:11]	Unknown has spawned a 'Entity [424][ix_actorgeneric]'.
[10:35:23]	Unknown has spawned a 'Entity [424][ix_actorgeneric]'.
[10:36:13]	Unknown exited observer at their location.
