[00:00:01]	[OOC] Petty Officer Second Class Arnold Jackson: ye
[00:00:04]	Petty Officer Second Class Arnold Jackson entered observer.
[00:00:11]	[OOC] Lieutenant Ezyn Linmer: danke
[00:02:00]	NamRm (STEAM_0:0:69476140) has disconnected.
[00:02:38]	Petty Officer Second Class Arnold Jackson has spawned 'models/props_lab/tpswitch.mdl'.
[00:03:21]	Petty Officer Second Class Arnold Jackson has spawned 'models/cire992/props3/chair_bar_01.mdl'.
[00:03:28]	Petty Officer Second Class Arnold Jackson has spawned 'models/cire992/props3/chair_utilitarian_01.mdl'.
[00:03:32]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:03:39]	Petty Officer Second Class Arnold Jackson entered observer.
[00:03:40]	[OOC] Lieutenant Ezyn Linmer: gonna head
[00:03:44]	[OOC] Petty Officer Second Class Arnold Jackson: k
[00:03:51]	matt saton (STEAM_0:1:53097688) has disconnected.
[00:03:53]	[OOC] Petty Officer Second Class Arnold Jackson: same actually
[00:03:57]	Doughnut (STEAM_0:1:127409364) has disconnected.
[01:01:12]	NeoChex has connected.
[01:04:38]	NeoChex loaded the character 'Private First Class TK-1925'
[01:05:08]	[OOC] Private First Class TK-1925: so i feel like stormtrooper armor is basically the same stuff you make hard hats out of
[01:05:53]	Private First Class TK-1925 has taken 68 damage from rp_kaktusownia_swrp_v1.
[01:05:53]	rp_kaktusownia_swrp_v1 has killed Private First Class TK-1925.
[01:17:46]	[OOC] Private First Class TK-1925: hm i wonder what havoc i can cause
[01:20:11]	NeoChex (STEAM_0:1:74406306) has disconnected.
[11:52:03]	FB|| light ROOM has connected.
[11:52:25]	FB|| light ROOM loaded the character 'TNK Private First Class Mitchell Lazarus'
[11:55:48]	FB|| light ROOM loaded the character 'Corporal RT-9824'
[11:58:03]	FB|| light ROOM loaded the character 'TNK Private First Class Mitchell Lazarus'
[12:01:21]	FB|| light ROOM loaded the character 'Corporal RT-9824'
[12:01:36]	Corporal RT-9824 has spawned 'models/props_junk/wood_crate002a.mdl'.
[12:01:49]	Corporal RT-9824 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[12:02:39]	Corporal RT-9824 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[12:02:47]	Corporal RT-9824 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[12:02:50]	Corporal RT-9824 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[12:02:52]	Corporal RT-9824 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[12:03:12]	Corporal RT-9824 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[12:29:21]	Doughnut has connected.
[12:29:44]	Doughnut loaded the character 'Petty Officer Second Class Arnold Jackson'
