[12:12:30]	matt saton has connected.
[12:13:40]	matt saton loaded the character 'CCA.C14-GRID.i3.69192'
[12:14:55]	CCA.C14-GRID.i3.69192 entered observer.
[12:18:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:22:57]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:23:05]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:23:06]	CCA.C14-GRID.i3.69192 exited observer at their location.
[12:23:07]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:23:13]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:23:16]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:23:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:23:46]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:23:50]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:25:27]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:25:37]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[12:25:37]	CCA.C14-GRID.i3.69192 entered observer.
[12:25:40]	CCA.C14-GRID.i3.69192 exited observer at their location.
[12:28:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:33:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:38:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:43:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:48:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:53:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[12:58:40]	CCA.C14-GRID.i3.69192 has gained 10 tokens.
[13:01:22]	CCA.C14-GRID.i3.69192 entered observer.
[13:01:23]	CCA.C14-GRID.i3.69192 exited observer at their location.
[13:01:25]	CCA.C14-GRID.i3.69192 entered observer.
[13:01:44]	CCA.C14-GRID.i3.69192 exited observer at their location.
[13:02:03]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:05]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:06]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:07]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:25]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:27]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:28]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:29]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:40]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:42]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:44]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:46]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:02:47]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:09]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:10]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:19]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:22]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:24]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:26]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:27]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:28]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
[13:03:28]	CCA.C14-GRID.i3.69192 used command '/ToggleRaise'.
