[10:58:12]	matt saton has connected.
[11:03:02]	DirectorHomeless has connected.
[11:03:45]	DirectorHomeless loaded the character 'Dimitri Sikon'
[11:03:52]	[OOC] Dimitri Sikon: cometh to me
[11:04:24]	Dimitri Sikon opened the '' #1333 container.
[11:04:26]	Dimitri Sikon closed the '' #1333 container.
[11:04:38]	Dimitri Sikon opened the '' #1333 container.
[11:04:44]	Universal Viper has connected.
[11:05:14]	Dimitri Sikon closed the '' #1333 container.
[11:05:25]	Universal Viper loaded the character 'Nick Flamingo'
[11:06:07]	[OOC] Dimitri Sikon: just waiting for QQ atm
[11:06:31]	matt saton loaded the character 'Lee Maylor'
[11:06:32]	[OOC] Nick Flamingo: do i need an ID to pass the gates?
[11:06:32]	Lee Maylor entered observer.
[11:06:37]	[OOC] Lee Maylor: howdy!!
[11:06:41]	[OOC] Dimitri Sikon: are you new?
[11:06:42]	[OOC] Lee Maylor: sure do, i'll be right ovr to print you one
[11:06:47]	[OOC] Nick Flamingo: yes im new here
[11:06:48]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[11:06:50]	[OOC] CCA.C08-UNION.i1.51023: and welcome
[11:06:50]	CCA.C08-UNION.i1.51023 entered observer.
[11:06:54]	[OOC] Dimitri Sikon: yea, Q can sort you
[11:06:57]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:06:57]	CCA.C08-UNION.i1.51023 entered observer.
[11:06:58]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:07:14]	[OOC] Nick Flamingo: whats the third person bind?
[11:07:40]	Dimitri Sikon ran 'equip' on item 'Citizen Filter' (#14508)
[11:07:41]	[OOC] CCA.C08-UNION.i1.51023: the console command is stp, so just bind any key to stp in the console
[11:07:43]	Dimitri Sikon opened the '' #1333 container.
[11:07:46]	[ME] CCA.C08-UNION.i1.51023: speaks flatly in response
[11:07:46]	Dimitri Sikon has gained a 'Citizen Filter' #14497.
[11:07:48]	Dimitri Sikon closed the '' #1333 container.
[11:07:58]	[ME] Nick Flamingo: gives coupon
[11:08:16]	[LOOC] CCA.C08-UNION.i1.51023: it's an item in your inventory  go ahead and drop him
[11:08:25]	Nick Flamingo ran 'drop' on item 'Relocation Coupon' (#14495)
[11:08:25]	Nick Flamingo has lost a 'Relocation Coupon' #14495.
[11:08:28]	CCA.C08-UNION.i1.51023 ran 'take' on item 'Relocation Coupon' (#14495)
[11:08:28]	CCA.C08-UNION.i1.51023 has gained a 'Relocation Coupon' #14495.
[11:08:53]	[ME] CCA.C08-UNION.i1.51023: takes the coupon, turns around, and inspects it in the light of the flourescent fixtures above him.
[11:09:08]	[ME] CCA.C08-UNION.i1.51023: , seemingly satisfied, would turn back and tell the citizen...
[11:09:15]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Relocation Coupon' (#14240)
[11:09:15]	CCA.C08-UNION.i1.51023 has lost a 'Relocation Coupon' #14240.
[11:09:33]	CCA.C08-UNION.i1.51023 ran 'take' on item 'Citizen ID' (#14522)
[11:09:33]	CCA.C08-UNION.i1.51023 has gained a 'Citizen ID' #14522.
[11:09:41]	Dimitri Sikon used command '/PM 023 when your done with this guy TP to me, i have cracked the matrix'.
[11:10:17]	[LOOC] CCA.C08-UNION.i1.51023: the IC year is 2006 and the war was 2003
[11:10:40]	[LOOC] Nick Flamingo: i can say liek 1999 right?
[11:10:48]	[LOOC] Nick Flamingo: like*
[11:10:58]	[LOOC] CCA.C08-UNION.i1.51023: nah, that would make you 4 at the time of the 7 hour war
[11:11:17]	[LOOC] CCA.C08-UNION.i1.51023: under 18ers were either killed or put into work camps.
[11:11:30]	CCA.C08-UNION.i1.51023 used command '/PM dimitri got it. sorry, helping this guy through the info and al that'.
[11:11:39]	[LOOC] Nick Flamingo: so 2006 is okay?
[11:11:42]	Dimitri Sikon used command '/PM 023 no worries, they take priority'.
[11:11:48]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[11:12:04]	helios has connected.
[11:12:33]	[LOOC] CCA.C08-UNION.i1.51023: 2006 is the current year, so you would not have been born at the time of the war
[11:12:34]	[LOOC] Nick Flamingo: wait im an idiot lol
[11:12:37]	[LOOC] CCA.C08-UNION.i1.51023: lmao you're all good
[11:13:01]	[LOOC] CCA.C08-UNION.i1.51023: minimum year to be born is 1985 iircc
[11:13:06]	[LOOC] CCA.C08-UNION.i1.51023: that would make you 18 at the time of the invasion
