[13:07:54]	matt saton has connected.
[13:17:22]	FB|| light ROOM has connected.
[13:17:54]	FB|| light ROOM loaded the character 'Ethan King'
[13:18:02]	FB|| light ROOM loaded the character 'Mitchell Lazarus'
[13:20:18]	Mitchell Lazarus has lost 5 tokens.
[13:20:22]	Mitchell Lazarus ran 'take' on item 'Breen's Water' (#7180)
[13:20:22]	Mitchell Lazarus has gained a 'Breen's Water' #7180.
[13:20:49]	FB|| light ROOM loaded the character 'Ethan King'
[13:24:04]	FB|| light ROOM loaded the character 'Mitchell Lazarus'
[13:30:26]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[14:36:32]	FB|| light ROOM has connected.
[14:36:56]	FB|| light ROOM loaded the character 'Mitchell Lazarus'
[14:38:28]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[15:33:23]	Ollie Garner has connected.
[15:36:30]	Ollie Garner loaded the character 'CCA.C08-UNION.i3.33698'
[15:36:35]	[OOC] CCA.C08-UNION.i3.33698: Yo
[15:38:33]	CCA.C08-UNION.i3.33698 has taken 4 damage from monster_babyheadcrab.
[15:38:48]	CCA.C08-UNION.i3.33698 has taken 4 damage from monster_babyheadcrab.
[15:39:53]	CCA.C08-UNION.i3.33698 opened the '' #880 container.
[15:39:55]	CCA.C08-UNION.i3.33698 closed the '' #880 container.
[15:40:04]	CCA.C08-UNION.i3.33698 has taken 5 damage from npc_headcrab.
[15:40:55]	Ollie Garner (STEAM_0:1:52892973) has disconnected.
[16:39:07]	matt saton loaded the character 'Joseph Kimsler'
[16:39:09]	Joseph Kimsler entered observer.
[16:43:14]	Joseph Kimsler exited observer at their location.
[16:43:14]	Joseph Kimsler entered observer.
[16:43:27]	Joseph Kimsler exited observer at their location.
[16:43:34]	Joseph Kimsler entered observer.
[16:46:27]	Joseph Kimsler exited observer at their location.
[16:46:28]	Joseph Kimsler entered observer.
[16:48:30]	Joseph Kimsler exited observer at their location.
[16:48:30]	Joseph Kimsler entered observer.
[16:48:30]	Joseph Kimsler exited observer at their location.
[16:48:35]	Joseph Kimsler entered observer.
[16:54:44]	Painevan has connected.
[16:55:15]	Painevan loaded the character 'Franz Ferdinand'
[17:01:05]	Painevan loaded the character 'CCA.C17-HELIX.i5.50299'
