[12:23:38]	matt saton has connected.
[12:29:33]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[12:29:36]	[OOC] CCA.C08-GRID.i3.08313: t
[12:29:37]	CCA.C08-GRID.i3.08313 entered observer.
[12:59:33]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[13:10:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[13:15:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[13:17:40]	CCA.C08-GRID.i3.08313 exited observer at their location.
[13:17:40]	CCA.C08-GRID.i3.08313 entered observer.
[13:17:41]	CCA.C08-GRID.i3.08313 exited observer at their location.
[13:17:41]	CCA.C08-GRID.i3.08313 entered observer.
[13:20:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[13:25:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[13:38:54]	CCA.C08-GRID.i3.08313 exited observer at their location.
[13:38:56]	CCA.C08-GRID.i3.08313 has taken 2 damage from worldspawn.
[13:38:57]	CCA.C08-GRID.i3.08313 entered observer.
[13:38:57]	CCA.C08-GRID.i3.08313 exited observer at their location.
[13:38:58]	CCA.C08-GRID.i3.08313 entered observer.
[13:38:58]	CCA.C08-GRID.i3.08313 exited observer at their location.
[13:38:59]	CCA.C08-GRID.i3.08313 entered observer.
[13:38:59]	CCA.C08-GRID.i3.08313 exited observer at their location.
[13:39:01]	CCA.C08-GRID.i3.08313 entered observer.
[13:39:01]	CCA.C08-GRID.i3.08313 exited observer at their location.
[13:39:03]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Supplements' (#20827)
[13:39:03]	CCA.C08-GRID.i3.08313 has lost a 'Supplements' #20827.
[13:39:09]	CCA.C08-GRID.i3.08313 entered observer.
[13:40:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[14:10:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[14:20:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[14:35:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[14:54:21]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2901][npc_antlion]'.
[14:54:22]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2902][npc_antlion]'.
[14:54:22]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2903][npc_antlion]'.
[14:54:23]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2904][npc_antlion]'.
[14:54:24]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2905][npc_antlion]'.
[14:54:25]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2906][npc_antlion]'.
[14:54:26]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2911][npc_antlion]'.
[14:54:26]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2914][npc_antlion]'.
[14:54:28]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2915][npc_antlion]'.
[14:54:29]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2916][npc_antlion]'.
[14:54:29]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2917][npc_antlion]'.
[14:54:31]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2918][npc_antlion]'.
[14:54:33]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2919][npc_antlion]'.
[14:54:34]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2919][npc_antlion]'.
[14:54:35]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2920][npc_antlion]'.
[14:54:36]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2921][npc_antlion]'.
[14:55:00]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2922][npc_vortigaunt]'.
[14:55:12]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2901][npc_vortigaunt]'.
[14:55:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[14:55:25]	CCA.C08-GRID.i3.08313 has spawned a 'NPC [2901][npc_vortigaunt]'.
[15:17:56]	Beedle has connected.
[15:38:03]	Beedle loaded the character 'Kane Davis'
[15:46:19]	[OOC] CCA.C08-GRID.i3.08313: sup
[15:46:27]	CCA.C08-GRID.i3.08313 exited observer at their location.
[15:46:56]	CCA.C08-GRID.i3.08313 entered observer.
[15:46:56]	CCA.C08-GRID.i3.08313 exited observer at their location.
[15:46:57]	CCA.C08-GRID.i3.08313 entered observer.
[15:46:57]	CCA.C08-GRID.i3.08313 exited observer at their location.
[15:48:12]	CCA.C08-GRID.i3.08313 entered observer.
[15:48:25]	CCA.C08-GRID.i3.08313 exited observer at their location.
[15:50:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[15:50:23]	[LOOC] CCA.C08-GRID.i3.08313: oh shity oyu're back
[15:50:27]	[LOOC] Kane Davis: ya
[15:51:24]	[LOOC] Kane Davis: sry
[15:51:29]	[LOOC] CCA.C08-GRID.i3.08313: you're good
[15:54:18]	[ME] CCA.C08-GRID.i3.08313: would turn around and type on the terminal behind him.
[15:54:28]	[ME] CCA.C08-GRID.i3.08313: would scroll through the different available work assignments.
[15:54:54]	CCA.C08-GRID.i3.08313 used command '/Radio GRID, are we beginning testing of RAZOR?'.
[15:54:57]	[LOOC] Kane Davis: When my description says West American Accent do you think I sound like a cowboy?
[15:55:14]	[LOOC] CCA.C08-GRID.i3.08313: i more picture bill and ted but less of a charicature
[15:55:22]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[15:55:28]	[LOOC] Kane Davis: BILL AND TED LOL
[15:55:28]	CCA.C08-GRID.i3.08313 used command '/Radio Copy that.'.
[15:56:29]	[LOOC] CCA.C08-GRID.i3.08313: i'm trying to think of something especially creative
[15:56:35]	[LOOC] Kane Davis: plumbing work
[15:56:39]	[LOOC] Kane Davis: lol
