[15:07:07]	matt saton has connected.
[15:19:41]	matt saton loaded the character 'James Albright'
[15:19:44]	James Albright entered observer.
[15:37:07]	Zelerity has connected.
[15:39:02]	Zelerity created the character 'Lucius Strand'
[15:39:02]	Lucius Strand has gained a 'Suitcase' #27471.
[15:39:02]	Lucius Strand has gained a 'Relocation Coupon' #27472.
[15:39:03]	Zelerity loaded the character 'Lucius Strand'
[15:40:00]	[OOC] Lucius Strand: Hello :)
[15:41:16]	[Y] Lucius Strand: HELLO? ANYONE THERE?!
[15:42:04]	Lucius Strand used command '/Request Requesting an officer to the train station.. new relocatee.'.
[15:45:30]	[OOC] Lucius Strand: :)
[15:48:39]	[OOC] Lucius Strand: Well.. explains why nobody is active.
[15:49:02]	Lucius Strand has taken 5 damage from prop_physics.
[15:49:08]	Lucius Strand has taken 10 damage from prop_physics.
[15:49:09]	Lucius Strand has taken 5 damage from prop_physics.
[15:49:48]	Lucius Strand has taken 10 damage from prop_physics.
[15:49:48]	Lucius Strand has taken 20 damage from prop_physics.
[15:49:48]	Lucius Strand has taken 5 damage from prop_physics.
[15:49:48]	Lucius Strand has taken 5 damage from prop_physics.
[15:50:44]	Lucius Strand has taken 5 damage from prop_physics.
[15:50:44]	Lucius Strand has taken 5 damage from prop_physics.
[15:52:48]	Lucius Strand opened the '' #2112 container.
[15:52:50]	Lucius Strand closed the '' #2112 container.
[15:54:00]	Lucius Strand used command '/DoorBuy'.
[15:56:03]	Lucius Strand opened the '' #1818 container.
[15:56:03]	Lucius Strand closed the '' #1818 container.
[15:56:04]	Lucius Strand opened the '' #1818 container.
[15:56:06]	Lucius Strand closed the '' #1818 container.
[15:56:55]	[OOC] James Albright: oh, hey ,sorry, i was doing some coursework, i didn't see you get on
[15:57:12]	[OOC] James Albright: welcome to the server!
[15:57:14]	[OOC] Lucius Strand: No worries. I sort of.. made by own way out.
[15:57:22]	James Albright exited observer at their location.
[15:57:23]	James Albright has taken 2 damage from James Albright.
