[21:19:29]	LynxQueen has connected.
[21:25:43]	LynxQueen loaded the character 'Merissa Myers'
[21:38:37]	LynxQueen created the character 'Chummy'
[21:38:42]	LynxQueen loaded the character 'Chummy'
[21:38:47]	Chummy has taken 5 damage from worldspawn.
[21:39:02]	Chummy opened the '' #1243 container.
[21:39:04]	Chummy closed the '' #1243 container.
[21:39:55]	LynxQueen created the character 'Crabbers'
[21:39:59]	LynxQueen loaded the character 'Crabbers'
[21:40:23]	LynxQueen loaded the character 'Chummy'
[21:40:33]	Chummy opened the '' #1233 container.
[21:40:39]	Chummy closed the '' #1233 container.
[21:40:53]	Chummy opened the '' #1464 container.
[21:40:55]	Chummy closed the '' #1464 container.
[21:42:58]	Chummy opened the '' #1253 container.
[21:43:00]	Chummy closed the '' #1253 container.
[21:43:17]	Chummy has taken 11 damage from worldspawn.
[21:43:18]	worldspawn has killed Chummy.
[21:43:18]	Chummy has taken 4 damage from monster_bullsquid.
[21:43:18]	Chummy has taken 4 damage from monster_bullsquid.
[21:43:18]	monster_bullsquid has killed Chummy.
[21:43:22]	Chummy has taken 2 damage from worldspawn.
[21:44:55]	LynxQueen created the character 'birb'
[21:44:59]	LynxQueen loaded the character 'birb'
[21:45:53]	LynxQueen loaded the character 'Chloe Cullen'
[21:46:47]	Chloe Cullen opened the '' #1277 container.
[21:46:49]	Chloe Cullen closed the '' #1277 container.
[22:04:22]	Chloe Cullen opened the '' #1277 container.
[22:04:25]	Chloe Cullen closed the '' #1277 container.
[22:24:53]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:53]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:54]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:55]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:56]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:56]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:57]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:58]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:59]	Chloe Cullen has taken 1 damage from worldspawn.
[22:24:59]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:00]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:01]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:02]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:02]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:03]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:04]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:05]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:05]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:06]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:07]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:08]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:09]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:09]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:10]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:11]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:12]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:12]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:13]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:14]	Chloe Cullen has taken 1 damage from worldspawn.
[22:25:14]	Chloe Cullen ran 'equip' on item 'Citizen Filter' (#13955)
[22:25:48]	Chloe Cullen used the 'Resin Terminal' vendor.
[22:25:50]	Chloe Cullen has gained 2 tokens.
[22:25:51]	Chloe Cullen has gained 2 tokens.
[22:26:01]	Chloe Cullen opened the '' #1341 container.
[22:26:03]	Chloe Cullen closed the '' #1341 container.
[22:26:20]	Chloe Cullen has taken 5 damage from Chloe Cullen.
[22:26:20]	Chloe Cullen has gained 10 tokens.
[22:29:28]	Chloe Cullen ran 'drop' on item 'Cables' (#12954)
[22:29:28]	Chloe Cullen has lost a 'Cables' #12954.
[22:30:41]	Chloe Cullen ran 'take' on item 'Cables' (#12954)
[22:30:41]	Chloe Cullen has gained a 'Cables' #12954.
[22:35:30]	Chloe Cullen has taken 250 damage from trigger_hurt.
[22:35:30]	trigger_hurt has killed Chloe Cullen.
[22:35:35]	Chloe Cullen has taken 250 damage from trigger_hurt.
[22:35:35]	trigger_hurt has killed Chloe Cullen.
[22:35:41]	Chloe Cullen ran 'take' on item 'Suitcase' (#14222)
[22:35:41]	Chloe Cullen has gained a 'Suitcase' #14222.
[22:35:52]	Chloe Cullen has taken 250 damage from trigger_hurt.
[22:35:52]	trigger_hurt has killed Chloe Cullen.
[22:39:18]	LynxQueen (STEAM_0:1:70540942) has disconnected.
