[07:24:53]	matt saton has connected.
[07:28:09]	matt saton loaded the character 'Ryan Marnett'
[07:28:11]	Ryan Marnett entered observer.
[07:28:38]	matt saton loaded the character 'Dispatch'
[07:28:43]	Dispatch used command '/Dispatch inspection'.
[07:28:51]	Dispatch used command '/Dispatch inspection'.
[07:28:57]	Dispatch entered observer.
[07:28:59]	Dispatch used command '/ToggleRaise'.
[07:29:00]	Dispatch exited observer at their location.
[07:29:00]	Dispatch entered observer.
[07:29:00]	Dispatch exited observer at their location.
[07:29:03]	Dispatch entered observer.
[07:29:03]	Dispatch exited observer at their location.
[07:29:04]	Dispatch entered observer.
[07:29:05]	Dispatch exited observer at their location.
[07:30:21]	Dispatch entered observer.
[07:30:23]	Dispatch exited observer at their location.
[07:33:02]	Dispatch used command '/Dispatch inspection'.
[07:33:03]	Dispatch entered observer.
[07:33:03]	Dispatch exited observer at their location.
[07:33:06]	Dispatch used command '/Dispatch assume inspection'.
[07:33:10]	Dispatch used command '/Dispatch inspection positions'.
[07:33:18]	Dispatch used command '/Dispatch id check'.
[07:33:51]	Dispatch used command '/Dispatch id check'.
[07:33:52]	Dispatch entered observer.
[07:38:59]	Dispatch exited observer at their location.
[07:39:02]	Dispatch entered observer.
[07:39:12]	Dispatch exited observer at their location.
[07:39:13]	Dispatch entered observer.
[07:39:14]	Dispatch exited observer at their location.
[07:39:14]	Dispatch entered observer.
[07:39:16]	Dispatch exited observer at their location.
[07:39:17]	Dispatch entered observer.
[07:42:51]	matt saton (STEAM_0:1:53097688) has disconnected.
[15:56:20]	FB|| light ROOM has connected.
[15:57:18]	FB|| light ROOM loaded the character 'CCA.C17-UNION.SqL.72633'
[15:57:22]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[15:58:53]	Theban 'Simmons' Revolt ran 'take' on item 'Hybrid Radio' (#35518)
[15:59:11]	Theban 'Simmons' Revolt ran 'Edit' on item 'Notepad' (#36344)
[15:59:53]	Theban 'Simmons' Revolt ran 'View' on item 'Notepad' (#35452)
[16:07:01]	NamRm has connected.
[16:07:54]	NamRm loaded the character 'Santino Russo'
[16:08:31]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[16:11:30]	FB|| light ROOM has connected.
[16:12:20]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[16:12:40]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#33393)
[16:22:58]	NamRm loaded the character 'Simone Evans'
[16:23:03]	Simone Evans used command '/CharDesc'.
[16:23:05]	Simone Evans used command '/CharDesc Stands at around 6'3. He has short brown hair and blue eyes. He doesn't have any visible scars or tattoos'.
[16:23:36]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#36342)
[16:23:36]	Theban 'Simmons' Revolt has lost a 'Suitcase' #36342.
[16:23:36]	Theban 'Simmons' Revolt has lost a 'Combat Knife' #36850.
[16:23:36]	Theban 'Simmons' Revolt has lost a '9mm Pistol Magazine' #36845.
[16:23:36]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36849.
[16:23:36]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36846.
[16:23:36]	Theban 'Simmons' Revolt has lost a '9mm Pistol Magazine' #36844.
[16:23:36]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36847.
[16:23:36]	Theban 'Simmons' Revolt has lost a '9mm Pistol Magazine' #36843.
[16:23:36]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36848.
[16:24:03]	Theban 'Simmons' Revolt ran 'read' on item 'Cars for Dummies, Vol. 1' (#6876)
[16:24:05]	Theban 'Simmons' Revolt ran 'drop' on item 'Cars for Dummies, Vol. 1' (#6876)
[16:24:05]	Theban 'Simmons' Revolt has lost a 'Cars for Dummies, Vol. 1' #6876.
[16:24:06]	Theban 'Simmons' Revolt ran 'drop' on item 'Bag of Screws' (#6169)
[16:24:06]	Theban 'Simmons' Revolt has lost a 'Bag of Screws' #6169.
[16:24:11]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'MP7' (#31480)
[16:24:18]	Theban 'Simmons' Revolt ran 'Equip' on item 'MP7' (#31480)
[16:24:19]	Theban 'Simmons' Revolt ran 'unloadAmmo' on item 'MP7' (#31480)
[16:24:19]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36852.
[16:24:20]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'MP7' (#31480)
[16:24:25]	Theban 'Simmons' Revolt ran 'Equip' on item 'MP7' (#31480)
[16:24:26]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'MP7' (#31480)
[16:24:26]	Theban 'Simmons' Revolt ran 'drop' on item 'MP7' (#31480)
[16:24:26]	Theban 'Simmons' Revolt has lost a 'MP7' #31480.
[16:24:28]	Theban 'Simmons' Revolt ran 'take' on item 'MP7' (#31480)
[16:24:28]	Theban 'Simmons' Revolt has gained a 'MP7' #31480.
[16:24:30]	Simone Evans ran 'take' on item 'Breen's Water' (#35986)
[16:24:30]	Simone Evans has gained a 'Breen's Water' #35986.
[16:24:33]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#35441)
[16:24:33]	Theban 'Simmons' Revolt has lost a 'Suitcase' #35441.
[16:24:33]	Theban 'Simmons' Revolt has lost a 'Comfortable Blue Shirt' #33944.
[16:24:33]	Theban 'Simmons' Revolt has lost a 'Combat Knife' #36851.
[16:24:33]	Theban 'Simmons' Revolt has lost a 'MP7' #31480.
[16:24:33]	Simone Evans ran 'Consume' on item 'Breen's Water' (#35986)
[16:24:35]	Simone Evans ran 'take' on item 'Breen's Water' (#35593)
[16:24:35]	Simone Evans has gained a 'Breen's Water' #35593.
[16:24:38]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#36342)
[16:24:38]	Theban 'Simmons' Revolt has gained a 'Suitcase' #36342.
[16:24:38]	Theban 'Simmons' Revolt has gained a 'Combat Knife' #36850.
[16:24:38]	Theban 'Simmons' Revolt has gained a '9mm Pistol Magazine' #36845.
[16:24:38]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36849.
[16:24:38]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36846.
[16:24:38]	Theban 'Simmons' Revolt has gained a '9mm Pistol Magazine' #36844.
[16:24:38]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36847.
[16:24:38]	Theban 'Simmons' Revolt has gained a '9mm Pistol Magazine' #36843.
[16:24:38]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36848.
[16:24:43]	Simone Evans ran 'Consume' on item 'Breen's Water' (#35593)
[16:24:47]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#36342)
[16:24:47]	Theban 'Simmons' Revolt has lost a 'Suitcase' #36342.
[16:24:47]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36852.
