[04:32:55]	Mr.Ganar has connected.
[04:34:09]	Mr.Ganar (STEAM_0:0:80909581) has disconnected.
[19:22:17]	matt saton has connected.
[19:23:54]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[19:45:48]	pill936874 has connected.
[19:46:11]	pill936874 loaded the character 'Garry Willvar'
[19:46:40]	pill936874 (STEAM_0:0:419613166) has disconnected.
[19:47:25]	pill936874 has connected.
[19:47:46]	pill936874 loaded the character 'Garry Willvar'
[19:49:02]	Garry Willvar ran 'take' on item 'Empty Tin Can' (#26821)
[19:49:02]	Garry Willvar has gained a 'Empty Tin Can' #26821.
[19:49:02]	Garry Willvar ran 'take' on item 'Citizen Filter' (#28176)
[19:49:02]	Garry Willvar has gained a 'Citizen Filter' #28176.
[19:49:25]	[OOC] Garry Willvar: hi matt
[19:49:44]	Garry Willvar ran 'take' on item 'Baby' (#23641)
[19:49:44]	Garry Willvar has gained a 'Baby' #23641.
[19:49:58]	Garry Willvar ran 'drop' on item 'Baby' (#23641)
[19:49:58]	Garry Willvar has lost a 'Baby' #23641.
[19:53:02]	Garry Willvar ran 'take' on item 'Crowbar' (#23643)
[19:53:02]	Garry Willvar has gained a 'Crowbar' #23643.
[19:53:02]	Garry Willvar ran 'take' on item 'Citizen Filter' (#24699)
[19:53:02]	Garry Willvar has gained a 'Citizen Filter' #24699.
[19:53:10]	Garry Willvar ran 'take' on item 'Flashlight' (#23917)
[19:53:10]	Garry Willvar has gained a 'Flashlight' #23917.
[19:53:10]	Garry Willvar ran 'take' on item 'Universal Soda' (#23650)
[19:53:10]	Garry Willvar has gained a 'Universal Soda' #23650.
[19:53:13]	Garry Willvar ran 'take' on item 'Sparkling Consulate Water' (#23655)
[19:53:13]	Garry Willvar has gained a 'Sparkling Consulate Water' #23655.
[19:53:13]	Garry Willvar ran 'take' on item 'Consulate Water' (#23656)
[19:53:13]	Garry Willvar has gained a 'Consulate Water' #23656.
[19:53:13]	Garry Willvar ran 'take' on item 'Consulate Water' (#23657)
[19:53:13]	Garry Willvar has gained a 'Consulate Water' #23657.
[19:53:13]	Garry Willvar ran 'take' on item 'Consulate Water' (#23658)
[19:53:13]	Garry Willvar has gained a 'Consulate Water' #23658.
[19:53:13]	Garry Willvar ran 'take' on item 'Citizen Filter' (#24697)
[19:53:13]	Garry Willvar has gained a 'Citizen Filter' #24697.
[19:53:13]	Garry Willvar ran 'take' on item 'Citizen Filter' (#24830)
[19:53:13]	Garry Willvar has gained a 'Citizen Filter' #24830.
[19:53:13]	Garry Willvar ran 'take' on item 'Citizen Filter' (#24864)
[19:53:13]	Garry Willvar has gained a 'Citizen Filter' #24864.
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Garlic Flavor)' (#24908)
[19:53:13]	Garry Willvar ran 'take' on item 'Loyalist Grade Supplements (Lemon Flavor)' (#24913)
[19:53:13]	Garry Willvar ran 'take' on item 'Small Cooking Pot' (#24971)
[19:53:13]	Garry Willvar ran 'take' on item 'Standard Grade Food Product (Mushroom Flavor)' (#25000)
[19:53:13]	Garry Willvar ran 'take' on item 'Standard Grade Supplements (Lettuce Flavor)' (#25001)
