[10:21:01]	matt saton has connected.
[10:28:44]	matt saton loaded the character 'James Albright'
[10:28:56]	James Albright entered observer.
[10:29:43]	James Albright exited observer at their location.
[10:29:44]	James Albright entered observer.
[10:29:46]	James Albright exited observer at their location.
[10:29:47]	James Albright entered observer.
[10:29:47]	James Albright exited observer at their location.
[10:29:48]	James Albright entered observer.
[10:29:48]	James Albright exited observer at their location.
[10:29:48]	James Albright entered observer.
[10:29:49]	James Albright exited observer at their location.
[10:29:49]	James Albright entered observer.
[10:29:50]	James Albright exited observer at their location.
[10:29:50]	James Albright entered observer.
[10:29:51]	James Albright exited observer at their location.
[10:29:51]	James Albright entered observer.
[10:29:52]	James Albright exited observer at their location.
[10:29:52]	James Albright entered observer.
[10:29:52]	James Albright exited observer at their location.
[10:29:53]	James Albright entered observer.
[10:29:53]	James Albright exited observer at their location.
[10:29:53]	James Albright entered observer.
[10:29:55]	James Albright exited observer at their location.
[10:29:56]	James Albright entered observer.
[10:29:57]	James Albright exited observer at their location.
[10:29:57]	James Albright entered observer.
[10:29:58]	James Albright exited observer at their location.
[10:29:59]	James Albright entered observer.
[10:29:59]	James Albright exited observer at their location.
[10:30:00]	James Albright entered observer.
[10:30:04]	James Albright exited observer at their location.
[10:30:05]	James Albright entered observer.
[10:30:06]	James Albright exited observer at their location.
[10:30:08]	James Albright entered observer.
[10:30:10]	James Albright exited observer at their location.
[10:30:11]	James Albright entered observer.
[10:30:13]	James Albright exited observer at their location.
[10:30:13]	James Albright entered observer.
[10:30:14]	James Albright exited observer at their location.
[10:30:14]	James Albright entered observer.
[10:30:15]	James Albright exited observer at their location.
[10:30:15]	James Albright entered observer.
[10:30:16]	James Albright exited observer at their location.
[10:30:17]	James Albright entered observer.
[10:30:18]	James Albright exited observer at their location.
[10:30:19]	James Albright entered observer.
[10:30:20]	James Albright exited observer at their location.
[10:30:20]	James Albright entered observer.
[10:31:43]	James Albright exited observer at their location.
[10:32:20]	James Albright entered observer.
[10:32:21]	James Albright exited observer at their location.
