[11:13:36]	matt saton has connected.
[11:16:42]	matt saton loaded the character 'Ryan Maley'
[11:17:50]	Ryan Maley entered observer.
[11:19:05]	Ryan Maley exited observer at their location.
[11:19:05]	Ryan Maley has taken 1 damage from worldspawn.
[11:19:06]	Ryan Maley has taken 1 damage from worldspawn.
[11:19:06]	Ryan Maley has taken 1 damage from worldspawn.
[11:19:07]	Ryan Maley has taken 1 damage from worldspawn.
[11:19:08]	Ryan Maley has taken 1 damage from worldspawn.
[11:19:09]	Ryan Maley has taken 1 damage from worldspawn.
[11:19:09]	Ryan Maley has taken 1 damage from worldspawn.
[11:19:10]	Ryan Maley entered observer.
[11:19:19]	matt saton loaded the character 'Anna Gottlieb'
[11:19:21]	Anna Gottlieb entered observer.
[11:19:27]	Nums has connected.
[11:19:51]	Anna Gottlieb exited observer at their location.
[11:20:29]	Anna Gottlieb entered observer.
[11:20:46]	Nums loaded the character 'Finan O'Conall'
[11:20:58]	[OOC] Anna Gottlieb: sup, i'm propping while i listen to my lecture
[11:20:59]	[OOC] Finan O'Conall: whats up bum
[11:21:12]	Anna Gottlieb exited observer at their location.
[11:21:21]	Finan O'Conall has taken 5 damage from npc_headcrab.
[11:21:37]	Anna Gottlieb has spawned 'models/props_c17/metalladder001.mdl'.
[11:21:53]	Finan O'Conall has taken 10 damage from npc_poisonzombie.
[11:21:53]	npc_poisonzombie has killed Finan O'Conall.
[11:22:08]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[11:22:53]	Anna Gottlieb has spawned 'models/props_c17/metalladder001.mdl'.
[11:23:11]	Anna Gottlieb entered observer.
[11:23:13]	Anna Gottlieb exited observer at their location.
[11:23:15]	Anna Gottlieb entered observer.
[11:23:19]	Anna Gottlieb exited observer at their location.
[11:23:21]	Anna Gottlieb has spawned 'models/props_c17/metalladder002.mdl'.
[11:23:23]	Anna Gottlieb has spawned 'models/props_c17/metalladder001.mdl'.
[11:23:46]	Finan O'Conall has taken 5 damage from npc_headcrab.
