[14:26:53]	matt saton has connected.
[14:28:08]	matt saton loaded the character 'Lee Maylor'
[14:28:13]	Lee Maylor entered observer.
[14:28:33]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[14:28:34]	CCA.C08-GRID.i3.08313 entered observer.
[14:28:56]	CCA.C08-GRID.i3.08313 exited observer at their location.
[14:28:57]	CCA.C08-GRID.i3.08313 entered observer.
[14:29:04]	CCA.C08-GRID.i3.08313 exited observer at their location.
[14:29:21]	hnbug01 has connected.
[14:29:31]	CCA.C08-GRID.i3.08313 entered observer.
[14:29:46]	CCA.C08-GRID.i3.08313 exited observer at their location.
[14:31:18]	CCA.C08-GRID.i3.08313 entered observer.
[14:31:19]	CCA.C08-GRID.i3.08313 exited observer at their location.
[14:31:19]	CCA.C08-GRID.i3.08313 entered observer.
[14:31:20]	CCA.C08-GRID.i3.08313 exited observer at their location.
[14:31:47]	hnbug01 loaded the character 'Feng Yi 'Eric' Hseuh'
[14:48:32]	CCA.C08-GRID.i3.08313 entered observer.
[14:48:33]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[14:53:13]	AXION has connected.
[14:55:11]	AXION loaded the character 'CCA.C08-GRID.i4.81530'
[14:55:28]	[OOC] CCA.C08-GRID.i4.81530: evening
[14:55:32]	[OOC] CCA.C08-GRID.i3.08313: howdy
[14:55:37]	matt saton loaded the character 'Lee Maylor'
[14:55:38]	Lee Maylor entered observer.
[14:55:45]	[OOC] CCA.C08-GRID.i4.81530: Oh FUCK
[14:55:45]	Lee Maylor exited observer at their location.
[14:55:47]	[OOC] CCA.C08-GRID.i4.81530: The Ping
[14:55:47]	[OOC] Lee Maylor: ?
[14:55:47]	Lee Maylor entered observer.
[14:55:57]	[OOC] Lee Maylor: oh fuck
[14:55:58]	Lee Maylor exited observer at their location.
[14:56:00]	[OOC] CCA.C08-GRID.i4.81530: Server US right ?
[14:56:01]	[OOC] Lee Maylor: your poing is high
[14:56:02]	[OOC] Lee Maylor: ping*
[14:56:08]	[OOC] Lee Maylor: yeah it's US-based. chicago
[14:56:19]	[OOC] CCA.C08-GRID.i4.81530: No I mean If Server is Hosted in USA
[14:57:36]	[OOC] Lee Maylor: it is
[14:59:08]	[OOC] CCA.C08-GRID.i4.81530: Ye Alright
[14:59:32]	[OOC] CCA.C08-GRID.i4.81530: Gotta need to reconnect then
[15:00:11]	CCA.C08-GRID.i4.81530 has gained 10 tokens.
[15:01:28]	[OOC] Lee Maylor: alright
[15:01:51]	CCA.C08-GRID.i4.81530 used command '/PM Lee Gonna send you something'.
[15:01:56]	AXION (STEAM_0:1:54101851) has disconnected.
[15:04:54]	Lee Maylor has taken 2 damage from Lee Maylor.
[15:05:09]	Lee Maylor has taken 2 damage from Lee Maylor.
[15:05:11]	Lee Maylor entered observer.
[15:14:31]	Tundra has connected.
[15:18:27]	Tundra created the character 'Aletta Brandy'
[15:18:27]	Aletta Brandy has gained a 'Suitcase' #20890.
[15:18:27]	Aletta Brandy has gained a 'Relocation Coupon' #20891.
[15:18:27]	Aletta Brandy has gained a 'Cyclopic Citizen Suit' #20892.
[15:18:27]	Aletta Brandy has gained a 'Citizen Filter' #20893.
[15:18:27]	Tundra loaded the character 'Aletta Brandy'
[15:18:51]	Aletta Brandy used command '/Content'.
[15:20:05]	[OOC] Aletta Brandy: whens the server usually active, if anyone here isnt afk to answer
[15:23:00]	Aletta Brandy has taken 250 damage from trigger_hurt.
[15:23:00]	trigger_hurt has killed Aletta Brandy.
[15:23:08]	[LOOC] Aletta Brandy: well damn
[15:23:16]	[OOC] Lee Maylor: fuck, hey, sorry
[15:24:15]	[OOC] Lee Maylor: currently doing some othe stuff while i was tabbed out. right now, there's not really active hours. we're in a bad place with player activity. but in the past it averages anywhere from 12PM-7PM EST
[15:25:05]	[OOC] Aletta Brandy: whats the difference between normal HL2 and beta HL2 roleplay servers? Ive never played on one that had beta stuff
[15:25:35]	[OOC] Lee Maylor: depends on what beta stuff the server involves, but we go off of a lot of the old concept art and storyline back when the game was way more 1984-esque
[15:25:44]	[OOC] Lee Maylor: so biggest example would be shit like the air exchange
[15:26:01]	[OOC] Aletta Brandy: Yeah ive noticed the sign/stuff in my inventory, the suit and filter
[15:26:05]	[OOC] Lee Maylor: yeye
[15:26:09]	[OOC] Aletta Brandy: never had that kind of deal anywhere else
[15:26:22]	[OOC] Lee Maylor: if you're not familiar, it was a site where the combine took all the good, breathable air and replaced it with toxic air because ???
[15:26:37]	[OOC] Lee Maylor: and then we use different models for our metrocops and OTA
[15:26:50]	[OOC] Aletta Brandy: I think they did that because they wanted to squeeze as much as they could from citizens without killing them too fast
[15:26:50]	[OOC] Lee Maylor: we've got cremators, yeah
[15:26:53]	[OOC] Lee Maylor: yeah
[15:26:53]	Lee Maylor exited observer at their location.
[15:26:54]	Lee Maylor entered observer.
[15:26:55]	Lee Maylor exited observer at their location.
[15:26:55]	Lee Maylor entered observer.
[15:26:57]	Lee Maylor exited observer at their location.
[15:26:57]	Lee Maylor entered observer.
[15:26:57]	Lee Maylor exited observer at their location.
[15:26:58]	Lee Maylor entered observer.
[15:27:00]	Lee Maylor exited observer at their location.
[15:27:07]	[OOC] Lee Maylor: also the consul is earth administrator instead of breen
[15:27:12]	Lee Maylor has taken 2 damage from Lee Maylor.
[15:27:18]	[OOC] Lee Maylor: i interpret a lot of it as just being far more industrial than regular HL2
[15:27:18]	Lee Maylor entered observer.
[15:27:25]	[OOC] Lee Maylor: so the consul will end his speeches with "Have a productive day"
[15:27:33]	[OOC] Lee Maylor: a lot of focus for citizen labor is industrial, that kind of thing
[15:27:44]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[15:27:50]	Aletta Brandy has gained a 'Respirator' #20894.
[15:27:50]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem aletta respirator'.
[15:27:50]	CCA.C08-GRID.i3.08313 entered observer.
[15:28:13]	[OOC] CCA.C08-GRID.i3.08313: i'll run over and print you an ID
[15:28:15]	CCA.C08-GRID.i3.08313 exited observer at their location.
[15:28:17]	CCA.C08-GRID.i3.08313 entered observer.
[15:28:17]	CCA.C08-GRID.i3.08313 exited observer at their location.
[15:28:28]	[OOC] CCA.C08-GRID.i3.08313: and, i haven't said it yet, but vvelcome
[15:28:33]	AXION has connected.
[15:28:39]	[OOC] Aletta Brandy: I like seriousRP but I need a lot more experience in it before its not noticable that I dont know what im doing half the time
[15:28:47]	[OOC] CCA.C08-GRID.i3.08313: i feel that
[15:29:01]	[OOC] CCA.C08-GRID.i3.08313: my first few months of seriousRP was just me doing really weird stuff
[15:29:05]	[OOC] Aletta Brandy: especially when joining a new server
[15:29:21]	[OOC] Aletta Brandy: it has the same premise but just that different feeling of being a new person nobody knows and such
[15:29:24]	[OOC] CCA.C08-GRID.i3.08313: well, we're pretty beginner-friendly. it's okay if you don't know how to seriousRP, as long as you're trying, we're all good
[15:29:28]	[OOC] CCA.C08-GRID.i3.08313: yeah
[15:29:44]	AXION loaded the character 'CCA.C08-GRID.i4.81530'
[15:29:56]	[OOC] CCA.C08-GRID.i4.81530: Evening 
[15:30:00]	[OOC] Aletta Brandy: I wonder how much of this map is similar to city 8 v3, I played on that map way too much
[15:30:17]	[OOC] CCA.C08-GRID.i3.08313: it's almost identical
[15:30:38]	[OOC] CCA.C08-GRID.i3.08313: hate to ruin the surprise but it's almost the exact same iirc
[15:30:42]	[OOC] Aletta Brandy: whats the deal with the symbols you guys got? I assume one of them is donator/VIP
[15:30:58]	[OOC] CCA.C08-GRID.i4.81530: Yes
[15:31:01]	[OOC] CCA.C08-GRID.i3.08313: ye. i'm the owner, so I've got the server's logo as my icon
[15:31:12]	[OOC] CCA.C08-GRID.i3.08313: GRID here is a donator, Super VIP to be specific
[15:31:13]	[OOC] Aletta Brandy: also I think my sound is bugged, brb doing a console command
[15:31:16]	[OOC] CCA.C08-GRID.i3.08313: alright
[15:31:26]	[OOC] CCA.C08-GRID.i3.08313: so yeah that icon is because he's a donator
[15:31:26]	[OOC] Aletta Brandy: ok my sounds working again
[15:31:38]	[OOC] Aletta Brandy: mfw server owner is only i3
[15:31:53]	[OOC] CCA.C08-GRID.i3.08313: it's a big trope for owners to be le big scary unit man
[15:31:58]	[OOC] CCA.C08-GRID.i3.08313: i like being a more chill low ranked unit
[15:32:09]	[OOC] CCA.C08-GRID.i4.81530: Liar :D
[15:32:17]	[LOOC] Aletta Brandy: oh shoot, how long you been there? I couldnt hear you until now
[15:32:23]	[LOOC] CCA.C08-GRID.i3.08313: you're good, only a couple mins
[15:32:28]	[LOOC] Aletta Brandy: youch
[15:32:31]	[OOC] CCA.C08-GRID.i4.81530: Whats the Radio command o.O
[15:32:38]	CCA.C08-GRID.i3.08313 used command '/Radio'.
[15:32:38]	[OOC] Aletta Brandy: /radio I assume
[15:32:43]	[OOC] CCA.C08-GRID.i4.81530: ee
[15:32:44]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[15:32:49]	CCA.C08-GRID.i3.08313 used command '/Radio test'.
[15:32:58]	[OOC] CCA.C08-GRID.i3.08313: broken is the actual correct answer
[15:33:02]	[OOC] CCA.C08-GRID.i3.08313: fuck
[15:33:04]	[OOC] CCA.C08-GRID.i4.81530: I see
[15:33:12]	[OOC] CCA.C08-GRID.i3.08313: i'll have it fixed after playercount dips tonight
[15:33:30]	[OOC] CCA.C08-GRID.i4.81530: Well I guess we will have Update soon :)
[15:33:39]	[OOC] CCA.C08-GRID.i3.08313: i mean the viewdata logs came out today so
[15:33:40]	[OOC] CCA.C08-GRID.i3.08313: yes
[15:33:48]	[ME] CCA.C08-GRID.i3.08313: would spot the citizen and straighten his posture immediately, almost like a reflex.
[15:34:17]	[ME] Aletta Brandy: sets a coupon on the counter
[15:34:21]	Aletta Brandy ran 'drop' on item 'Relocation Coupon' (#20891)
[15:34:21]	Aletta Brandy has lost a 'Relocation Coupon' #20891.
[15:34:25]	[ME] CCA.C08-GRID.i4.81530: would stare at the Woman
[15:34:44]	CCA.C08-GRID.i4.81530 has gained 10 tokens.
[15:34:45]	[ME] CCA.C08-GRID.i4.81530: Would tighten his grip on his baton
[15:34:49]	[LOOC] Aletta Brandy: is there an application for joining civil protection or is it IC based?
[15:34:52]	[ME] CCA.C08-GRID.i3.08313: would take the coupon and turn around. He inspects the coupon in the light, likely checking if it's fraudulent or just getting a good look at it.
[15:34:56]	[LOOC] CCA.C08-GRID.i3.08313: we do either
[15:34:58]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Relocation Coupon' (#20891)
[15:34:58]	CCA.C08-GRID.i3.08313 has gained a 'Relocation Coupon' #20891.
[15:35:07]	[ME] CCA.C08-GRID.i3.08313: would turn back to face the citizen.
[15:35:12]	[LOOC] CCA.C08-GRID.i3.08313: here.* fug
[15:35:21]	CCA.C08-GRID.i3.08313 opened the '' #1955 container.
[15:35:24]	CCA.C08-GRID.i3.08313 ran 'drop' on item 'Relocation Coupon' (#20891)
[15:35:24]	CCA.C08-GRID.i3.08313 has lost a 'Relocation Coupon' #20891.
[15:35:25]	CCA.C08-GRID.i3.08313 closed the '' #1955 container.
[15:35:28]	[OOC] Aletta Brandy: that broadcast is ironic
[15:35:31]	CCA.C08-GRID.i3.08313 ran 'take' on item 'Citizen ID' (#20895)
[15:35:31]	CCA.C08-GRID.i3.08313 has gained a 'Citizen ID' #20895.
[15:35:34]	[OOC] CCA.C08-GRID.i4.81530: Yes
[15:35:42]	[OOC] CCA.C08-GRID.i3.08313: it be
[15:35:50]	[ME] CCA.C08-GRID.i3.08313: takes out their datapad and types a couple things in.
[15:35:53]	CCA.C08-GRID.i3.08313 used command '/ViewData aletta'.
[15:36:03]	CCA.C08-GRID.i3.08313 used command '/ViewData aletta'.
[15:36:20]	[OOC] Aletta Brandy: I had some pickled onions and sausage with some orange juice, ima regret this later
[15:36:29]	[LOOC] CCA.C08-GRID.i3.08313: current year is 2006, war was 2003
[15:36:38]	[OOC] CCA.C08-GRID.i4.81530: Oh my god, You are not sane
[15:36:41]	[LOOC] Aletta Brandy: thanks, was just about to ask so I can figure that out
[15:36:48]	[OOC] CCA.C08-GRID.i4.81530: Nice to meet you...
[15:37:04]	CCA.C08-GRID.i3.08313 used command '/ViewData aletta'.
[15:37:07]	CCA.C08-GRID.i3.08313 used command '/ViewData aletta'.
[15:37:44]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[15:37:56]	[ME] CCA.C08-GRID.i4.81530: would turn on his baton and then Turning it off, Examining the Functionality of the Baton
[15:38:00]	CCA.C08-GRID.i3.08313 used command '/ViewData aletta'.
[15:38:10]	[LOOC] Aletta Brandy: weirdly enough, I never think of that answer because its not a usual question I get asked a lot
[15:38:17]	[LOOC] CCA.C08-GRID.i3.08313: yeah, nobody really does
[15:38:20]	[LOOC] CCA.C08-GRID.i3.08313: weirdly
[15:38:38]	[LOOC] Aletta Brandy: ill think of an entire backstory before a birthday lol
[15:39:44]	CCA.C08-GRID.i4.81530 has gained 10 tokens.
[15:40:48]	[LOOC] CCA.C08-GRID.i4.81530: You both dead or ?
[15:41:12]	[LOOC] Aletta Brandy: I can actually do the lazy eye thing on command IRL
[15:41:22]	[LOOC] CCA.C08-GRID.i3.08313: i knew like one person who could do that
[15:41:44]	[LOOC] Aletta Brandy: my moms sister has perma lazy eye
[15:42:14]	[LOOC] Aletta Brandy: although if you asked my mom, she'd she isnt my mom because of a recent arguement the other day
[15:42:33]	[LOOC] CCA.C08-GRID.i4.81530: aaaaaaaaaaaaaaaaaa
[15:42:44]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
