[01:34:55]	Mr.Ganar has connected.
[01:35:20]	Mr.Ganar (STEAM_0:0:80909581) has disconnected.
[13:42:50]	matt saton has connected.
[14:07:41]	matt saton has connected.
[14:29:14]	Snowiie has connected.
[14:33:50]	Snowiie has connected.
[14:34:33]	Snowiie (STEAM_0:1:194408325) has disconnected.
[14:35:55]	Snowiie has connected.
[14:39:01]	Jericho Cross has gained a 'Cyclopic Citizen Suit' #28205.
[14:39:01]	Jericho Cross has gained a 'Citizen Filter' #28206.
[14:39:01]	Snowiie created the character 'Jericho Cross'
[14:39:01]	Jericho Cross has gained a 'Suitcase' #28207.
[14:39:01]	Jericho Cross has gained a 'Relocation Coupon' #28208.
[14:39:01]	Snowiie loaded the character 'Jericho Cross'
[14:39:17]	Jericho Cross has taken 1 damage from worldspawn.
[14:39:18]	Jericho Cross has taken 1 damage from worldspawn.
[14:39:18]	Jericho Cross has taken 1 damage from worldspawn.
[14:39:23]	Jericho Cross ran 'Equip' on item 'Cyclopic Citizen Suit' (#28205)
[14:39:24]	Jericho Cross ran 'equip' on item 'Citizen Filter' (#28206)
[14:40:04]	Jericho Cross ran 'drop' on item 'Suitcase' (#28207)
[14:40:04]	Jericho Cross has lost a 'Suitcase' #28207.
[14:40:06]	Jericho Cross ran 'take' on item 'Suitcase' (#28207)
[14:40:06]	Jericho Cross has gained a 'Suitcase' #28207.
[14:40:24]	[OOC] Jericho Cross: Hello!
[14:43:11]	matt saton has connected.
[14:43:25]	[ME] Jericho Cross: stand
[14:43:29]	[LOOC] Jericho Cross: oh
[14:48:49]	Snowiie (STEAM_0:1:194408325) has disconnected.
[14:53:32]	matt saton has connected.
[15:03:52]	matt saton has connected.
[15:09:17]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[15:09:23]	CCA.C17-GRID.i3.08313 entered observer.
[15:09:23]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:09:25]	CCA.C17-GRID.i3.08313 used command '/ViewData grid'.
[15:09:26]	CCA.C17-GRID.i3.08313 entered observer.
[15:11:53]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:12:00]	CCA.C17-GRID.i3.08313 entered observer.
[15:12:01]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:12:06]	CCA.C17-GRID.i3.08313 entered observer.
[15:12:07]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:12:07]	CCA.C17-GRID.i3.08313 entered observer.
[15:12:31]	CCA.C17-GRID.i3.08313 used command '/TextAdd Work Desk 1'.
[15:12:36]	CCA.C17-GRID.i3.08313 used command '/TextRemove 5'.
[15:12:44]	CCA.C17-GRID.i3.08313 used command '/TextAdd Work Desk 1'.
[15:13:02]	Bean has connected.
[15:13:19]	CCA.C17-GRID.i3.08313 exited observer at their location.
[15:13:25]	Bean loaded the character 'Alex Palovichov'
[15:13:36]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[15:14:51]	[OOC] Alex Palovichov: Greetings
[15:14:56]	[OOC] CCA.C17-GRID.i3.08313: HE IS RISEN!
[15:15:08]	[OOC] CCA.C17-GRID.i3.08313: i'm using pac3 to make my shoulders more broad
[15:15:10]	[OOC] CCA.C17-GRID.i3.08313: not a lot more just a bit
[15:15:29]	[OOC] Alex Palovichov: Huh, I dont even know how to use Pac3 lol
[15:15:49]	Alex Palovichov ran 'drop' on item 'Documents Case' (#24746)
