[11:35:51]	Dilly_ has connected.
[11:37:11]	Dilly_ loaded the character 'Crimson'
[11:37:39]	Crimson used command '/CharFallOver 1'.
[11:37:40]	Crimson has taken 100 damage from worldspawn.
[11:37:40]	worldspawn has killed Crimson.
[11:41:29]	FB|| light ROOM has connected.
[11:42:21]	Crimson used command '/CharDesc'.
[11:42:31]	Crimson used command '/CharDesc (drenched in white paint?) simply a nice bird. |BOL|'.
[11:42:38]	Crimson used command '/CharDesc'.
[11:43:06]	Crimson used command '/CharDesc (drenched in white paint?) simply a nice bird. |235 counts of 63 Criminal Tresspass|'.
[11:44:18]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[11:44:24]	[OOC] CCA.C08-QrM.98240: Yo, what's up
[11:44:30]	[OOC] Crimson: the sky
[11:44:35]	[OOC] Crimson: c: 
[11:44:44]	[OOC] CCA.C08-QrM.98240: smh
[11:45:02]	[OOC] CCA.C08-QrM.98240: jesus christ I forgot how fucking bright the Nemez models are lmao
[11:45:14]	[OOC] Crimson: yeaaaaaaah just a lot 
[11:45:28]	[OOC] CCA.C08-QrM.98240: I've gotten used to the Tarkov CCA models and the Willards
[11:46:42]	[OOC] CCA.C08-QrM.98240: You should totally get into my Armory.
[11:46:53]	[OOC] Crimson: wouldn't be the first time
[11:46:57]	[OOC] CCA.C08-QrM.98240: True
[11:47:02]	[OOC] Crimson: It'll add another count to my tresspass count
[11:47:32]	[ME] Crimson: vibes
[11:47:34]	[ME] CCA.C08-QrM.98240: Would look over to the bird, simple saying, "Oh shit, you're back."
[11:47:46]	[ME] Crimson: pecks the ground 
[11:48:17]	[ME] CCA.C08-QrM.98240: Kneels down for a moment, holding out his hand to the bird, "Don't bite me please."
[11:48:34]	[LOOC] CCA.C08-QrM.98240: Dysney princess QrM
[11:48:57]	[ME] Crimson: it walks up with its talons, and takes a step onto the individuals open hand 
[11:49:11]	[ME] CCA.C08-QrM.98240: Would stand up, "Hell yeah! good bird."
[11:49:18]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:49:30]	[LOOC] CCA.C08-QrM.98240: food
[11:49:56]	[ME] CCA.C08-QrM.98240: Would place his hand onto the bench, allowing the bird to hop off and vibe more.
[11:50:10]	[ME] Crimson: vibes and leaps onto the table 
[11:50:25]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[11:50:27]	Crimson ran 'Equip' on item 'Empty Glass Bottle' (#20444)
[11:50:35]	CCA.C08-QrM.98240 used the 'Ration Supply' vendor.
[11:50:49]	[LOOC] CCA.C08-QrM.98240: Why is my ration supply empty :(
[11:50:49]	Crimson ran 'EquipUn' on item 'Empty Glass Bottle' (#20444)
[11:50:57]	CCA.C08-QrM.98240 used the 'Ration Supply' vendor.
[11:51:03]	[LOOC] Crimson: someone went on a purge 
[11:51:05]	Crimson ran 'Equip' on item 'Empty Glass Bottle' (#20444)
[11:51:11]	Crimson ran 'EquipUn' on item 'Empty Glass Bottle' (#20444)
[11:51:19]	Crimson ran 'Equip' on item 'Empty Glass Bottle' (#20444)
