[13:28:47]	matt saton has connected.
[13:30:16]	FB|| light ROOM has connected.
[13:30:19]	matt saton loaded the character 'Ryan Marnett'
[13:30:21]	Ryan Marnett has taken 152 damage from worldspawn.
[13:30:21]	worldspawn has killed Ryan Marnett.
[13:30:26]	Ryan Marnett entered observer.
[13:32:05]	Ryan Marnett exited observer at their location.
[13:32:06]	Ryan Marnett entered observer.
[13:32:08]	Ryan Marnett exited observer at their location.
[13:32:14]	FB|| light ROOM loaded the character 'Journey Robertson'
[13:32:15]	Ryan Marnett has spawned a 'Entity [3195][ix_station_airpressurizer]'.
[13:32:17]	Ryan Marnett has spawned a 'Entity [3199][ix_station_diecaster]'.
[13:32:24]	[OOC] Journey Robertson: Yo
[13:32:32]	[OOC] Ryan Marnett: yo
[13:32:32]	Ryan Marnett entered observer.
[13:33:04]	Ryan Marnett has spawned a 'Entity [3195][ix_testent4]'.
[13:33:12]	Ryan Marnett exited observer at their location.
[13:33:13]	Ryan Marnett entered observer.
[13:33:13]	Ryan Marnett exited observer at their location.
[13:33:18]	Ryan Marnett has spawned a 'Entity [3195][ix_unionlock]'.
[13:33:20]	Ryan Marnett entered observer.
[13:33:32]	Ryan Marnett exited observer at their location.
[13:33:32]	Ryan Marnett entered observer.
[13:33:43]	Ryan Marnett has spawned a 'Entity [3195][ix_combinelock]'.
[13:33:48]	Ryan Marnett exited observer at their location.
[13:33:59]	Ryan Marnett entered observer.
[13:35:58]	Ryan Marnett exited observer at their location.
[13:35:59]	Ryan Marnett entered observer.
[13:35:59]	Ryan Marnett exited observer at their location.
[13:36:07]	matt saton loaded the character 'Evan Miller'
[13:36:08]	Evan Miller entered observer.
[13:36:15]	Evan Miller exited observer at their location.
[13:36:16]	Evan Miller entered observer.
[13:36:16]	Evan Miller exited observer at their location.
[13:36:19]	Evan Miller entered observer.
[13:36:20]	Evan Miller exited observer at their location.
[13:36:20]	Evan Miller entered observer.
[13:36:21]	Evan Miller exited observer at their location.
[13:36:21]	Evan Miller entered observer.
[13:36:50]	[OOC] Journey Robertson: Why do i have two stamina bars?
[13:36:55]	[OOC] Evan Miller: FUCk it's still broken
[13:36:58]	[OOC] Journey Robertson: F
[13:37:10]	Carl Everson used command '/CharSetName evan Carl Everson'.
[13:37:25]	[OOC] Journey Robertson: Me who doesn't have any stats and can't apply for some reason
[13:37:29]	Journey Robertson used command '/Apply'.
[13:37:41]	[OOC] Journey Robertson: It was like that for a long time but still kinda fucked
[13:38:40]	Journey Robertson has taken 5 damage from npc_headcrab.
[13:39:17]	Carl Everson exited observer at their location.
[13:39:17]	Carl Everson entered observer.
[13:39:18]	Carl Everson exited observer at their location.
[13:39:22]	Carl Everson entered observer.
[13:39:23]	Carl Everson exited observer at their location.
[13:39:23]	Carl Everson entered observer.
[13:39:24]	Carl Everson exited observer at their location.
[13:40:58]	[LOOC] Carl Everson: sorry
[13:41:20]	[LOOC] Journey Robertson: Scaring*
[13:41:23]	[LOOC] Journey Robertson: Fucking kill me
[13:42:08]	[LOOC] Journey Robertson: Doubt my char knows what a Nexus is
[13:42:26]	[LOOC] Carl Everson: fuck you
[13:43:57]	[ME] Carl Everson: stands in the light and shows the staff's crystal to Journey.
[13:44:09]	[IT] Carl Everson: It's  black on the bottom half, and pristine orange on the top half.
[13:44:37]	[ME] Carl Everson: would proceed to tie the individual. Would they resist?
[13:44:43]	Carl Everson used command '/ToggleRaise'.
[13:44:47]	[LOOC] Journey Robertson: larry ties me and searches me
[13:44:50]	[LOOC] Carl Everson: fuck void
[13:44:52]	[LOOC] Journey Robertson: Lmao
[13:44:52]	[LOOC] Carl Everson: sorry
[13:47:55]	[LOOC] Journey Robertson: Crusaders
[13:47:59]	Carl Everson used command '/DoorSetHidden false'.
[13:48:02]	Carl Everson used command '/DoorSetHidden false'.
[13:48:03]	Carl Everson used command '/DoorSetHidden false'.
[13:48:04]	Carl Everson used command '/DoorSetHidden false'.
[13:48:05]	Carl Everson used command '/DoorSetHidden false'.
[13:48:32]	[LOOC] Carl Everson: void the punchin sounds
[13:48:40]	[LOOC] Journey Robertson: I know
[13:48:44]	[LOOC] Carl Everson: thank
[13:51:13]	Journey Robertson has taken 12 damage from Carl Everson.
[13:51:15]	[LOOC] Carl Everson: FUCKL
[13:51:15]	[LOOC] Journey Robertson: Nice
[13:51:18]	Carl Everson entered observer.
[13:51:19]	Carl Everson exited observer at their location.
[13:52:02]	Journey Robertson has taken 12 damage from Carl Everson.
[13:52:04]	[LOOC] Carl Everson: FUCKING
[13:52:07]	[LOOC] Journey Robertson: Bruh
[13:52:32]	Journey Robertson has taken 12 damage from Carl Everson.
[13:52:34]	[ME] Carl Everson: would take out his combat knife and cut the individual's ties.
[13:52:37]	[LOOC] Journey Robertson: Lmao
[13:52:38]	Carl Everson entered observer.
[13:52:39]	Carl Everson exited observer at their location.
[13:52:57]	Carl Everson entered observer.
[13:53:00]	Journey Robertson ran 'drop' on item 'Small Cooking Pot' (#7615)
[13:53:00]	Journey Robertson has lost a 'Small Cooking Pot' #7615.
[13:53:01]	Journey Robertson ran 'drop' on item 'Battered Scrap' (#25861)
[13:53:01]	Journey Robertson has lost a 'Battered Scrap' #25861.
[13:53:02]	Journey Robertson ran 'drop' on item 'Battered Scrap' (#25862)
[13:53:02]	Journey Robertson has lost a 'Battered Scrap' #25862.
[13:53:23]	Carl Everson exited observer at their location.
[13:53:34]	Carl Everson entered observer.
[13:53:46]	Carl Everson has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_container.mdl'.
[13:53:47]	Carl Everson has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_clothe.mdl'.
[13:54:19]	[OOC] Journey Robertson: Shit, brb
[13:57:56]	Carl Everson has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_container.mdl'.
[14:01:48]	Carl Everson has spawned 'models/items/crafting_metal/resin_puck_stack.mdl'.
[14:02:17]	[OOC] Journey Robertson: Back
[14:02:43]	Carl Everson has gained a 'Resin' #25902.
[14:02:43]	Carl Everson used command '/CreateCustomItem Resin models/items/crafting_metal/resin_puck01.mdl A metal puck with a blue shine.'.
[14:02:48]	Carl Everson has gained a 'Resin' #25903.
[14:02:48]	Carl Everson used command '/CreateCustomItem Resin models/items/crafting_metal/resin_puck02.mdl A metal puck with a blue shine.'.
[14:02:51]	Carl Everson has gained a 'Resin' #25904.
[14:02:51]	Carl Everson used command '/CreateCustomItem Resin models/items/crafting_metal/resin_puck03.mdl A metal puck with a blue shine.'.
[14:03:13]	Carl Everson ran 'drop' on item 'Resin' (#25904)
[14:03:13]	Carl Everson has lost a 'Resin' #25904.
[14:03:21]	Carl Everson ran 'take' on item 'Resin' (#25904)
[14:03:21]	Carl Everson has gained a 'Resin' #25904.
[14:03:23]	Carl Everson ran 'drop' on item 'Resin' (#25902)
[14:03:23]	Carl Everson has lost a 'Resin' #25902.
[14:04:28]	[OOC] Journey Robertson: TFW procrastinating on a easy ass discussion.
[14:04:33]	[OOC] Carl Everson: ?
[14:04:37]	[OOC] Journey Robertson: It's school shit
[14:04:38]	Carl Everson exited observer at their location.
[14:04:54]	Carl Everson entered observer.
[14:04:55]	Carl Everson exited observer at their location.
[14:04:55]	Carl Everson entered observer.
[14:04:56]	Carl Everson exited observer at their location.
[14:04:58]	[LOOC] Journey Robertson: I've taken this path multiple times
[14:05:00]	Carl Everson used command '/CharFallOver'.
[14:05:02]	[LOOC] Journey Robertson: It's great
[14:05:05]	Carl Everson used command '/CharGetUp'.
[14:05:11]	Carl Everson entered observer.
[14:05:26]	Carl Everson ran 'drop' on item 'Resin' (#25904)
[14:05:26]	Carl Everson has lost a 'Resin' #25904.
[14:05:30]	Carl Everson ran 'drop' on item 'Resin' (#25903)
[14:05:30]	Carl Everson has lost a 'Resin' #25903.
[14:06:11]	[ME] Journey Robertson: Slowly lowers himself down onto the metal parts of the Garbage can.
[14:06:42]	[ME] Journey Robertson: Opens the crate and begins digging through it
[14:06:44]	[OOC] Journey Robertson: Q you there?
[14:06:48]	[OOC] Carl Everson: yeah
[14:06:50]	[OOC] Carl Everson: roll
[14:06:50]	[OOC] Journey Robertson: Me gotta roll
[14:06:51]	Journey Robertson rolled 87 out of 100.
[14:06:51]	Journey Robertson used command '/Roll'.
[14:06:55]	Carl Everson used command '/adminspawnmenu'.
[14:06:58]	[OOC] Journey Robertson: 87 out of 100
[14:06:59]	[OOC] Journey Robertson: Nice
[14:07:03]	[OOC] Carl Everson: i saw
[14:07:04]	Carl Everson used command '/adminspawnmenu'.
[14:07:16]	[OOC] Journey Robertson: That is actaully fucking amazing for my rolls
[14:07:38]	Carl Everson has spawned "Corrugated Hose"
[14:07:45]	Carl Everson used command '/adminspawnmenu'.
[14:07:48]	Carl Everson has spawned "Radiator Helix"
[14:07:51]	Carl Everson has spawned "Spark Plug"
[14:07:58]	Carl Everson has gained a 'Spark Plug' #25908.
[14:07:58]	Carl Everson used command '/CharGiveItem carl spark'.
[14:08:00]	Carl Everson ran 'drop' on item 'Spark Plug' (#25908)
[14:08:00]	Carl Everson has lost a 'Spark Plug' #25908.
[14:08:07]	Carl Everson has gained a 'Corrugated Hose' #25908.
[14:08:07]	Carl Everson used command '/CharGiveItem carl hose'.
[14:08:07]	Carl Everson has gained a 'Corrugated Hose' #25909.
[14:08:07]	Carl Everson used command '/CharGiveItem carl hose'.
[14:08:14]	Carl Everson ran 'drop' on item 'Corrugated Hose' (#25908)
[14:08:14]	Carl Everson has lost a 'Corrugated Hose' #25908.
[14:08:18]	[LOOC] Carl Everson: wait
[14:08:21]	Carl Everson used command '/adminspawnmenu'.
[14:08:33]	Carl Everson has spawned "Combine Hazmat Worker Outfit"
[14:08:41]	[W] Journey Robertson: Fucking nice.
[14:08:42]	Journey Robertson ran 'take' on item 'Combine Hazmat Worker Outfit' (#25910)
[14:08:42]	Journey Robertson has gained a 'Combine Hazmat Worker Outfit' #25910.
[14:08:43]	Journey Robertson ran 'take' on item 'Corrugated Hose' (#25908)
[14:08:49]	Journey Robertson ran 'take' on item 'Corrugated Hose' (#25908)
[14:08:49]	Journey Robertson has gained a 'Corrugated Hose' #25908.
[14:09:06]	[W] Journey Robertson: I've gotta fucking go.
[14:09:17]	[ME] Journey Robertson: Opens up the window and runs through.
[14:09:37]	matt saton loaded the character 'James Albright'
[14:09:38]	James Albright entered observer.
[14:09:43]	[ME] Journey Robertson: begins searching the boxes for anything of value.
[14:09:44]	Journey Robertson rolled 86 out of 100.
[14:09:44]	Journey Robertson used command '/Roll'.
[14:09:46]	James Albright used command '/adminspawnmenu'.
[14:09:51]	[OOC] Journey Robertson: Holy shit my rolls are amazing today
[14:09:57]	James Albright has gained a 'Circuit Board' #25911.
[14:09:57]	James Albright used command '/CharGiveItem james circuit'.
[14:10:00]	James Albright ran 'drop' on item 'Circuit Board' (#25911)
[14:10:00]	James Albright has lost a 'Circuit Board' #25911.
[14:10:01]	James Albright has gained a 'Circuit Board' #25912.
[14:10:01]	James Albright used command '/CharGiveItem james circuit'.
[14:10:02]	James Albright ran 'drop' on item 'Circuit Board' (#25912)
[14:10:02]	James Albright has lost a 'Circuit Board' #25912.
[14:10:06]	James Albright entered observer.
[14:10:06]	Journey Robertson ran 'take' on item 'Circuit Board' (#25912)
[14:10:12]	Journey Robertson ran 'drop' on item 'Reclaimed Metal' (#25796)
[14:10:12]	Journey Robertson has lost a 'Reclaimed Metal' #25796.
