[14:53:48]	matt saton has connected.
[14:55:10]	matt saton loaded the character 'Jacob Lawson'
[14:55:13]	Jacob Lawson entered observer.
[15:04:21]	deantheone has connected.
[15:07:39]	deantheone loaded the character 'Jim Bostello'
[15:08:05]	Jim Bostello ran 'Equip' on item 'Conscript Hazmat Armor' (#14139)
[15:08:52]	Jim Bostello ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14139)
[15:11:02]	Jim Bostello ran 'Equip' on item 'Conscript Hazmat Armor' (#14139)
[15:11:20]	[OOC] Jacob Lawson: what's good xyz
[15:11:23]	[OOC] Jacob Lawson: you ready to maek your CWU char
[15:11:25]	[OOC] Jim Bostello: wassup
[15:11:33]	[OOC] Jim Bostello: ive had one
[15:11:42]	[OOC] Jacob Lawson: ah
[15:11:46]	[OOC] Jacob Lawson: commerce?
[15:12:02]	[OOC] Jim Bostello: wym
[15:12:11]	[OOC] Jacob Lawson: what branch of the CWU are you in
[15:13:27]	Jacob Lawson exited observer at their location.
[15:13:37]	Jacob Lawson used command '/DoorSetHidden true'.
[15:13:38]	Jacob Lawson entered observer.
[15:13:43]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[15:13:44]	CCA.C08-UNION.i1.51023 has taken 41 damage from worldspawn.
[15:13:45]	CCA.C08-UNION.i1.51023 entered observer.
[15:14:07]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:14:15]	CCA.C08-UNION.i1.51023 used command '/CharSetHunger union 100'.
[15:14:15]	CCA.C08-UNION.i1.51023 entered observer.
[15:14:19]	CCA.C08-UNION.i1.51023 used command '/CharSetThirst union 100'.
[15:14:19]	[OOC] Jim Bostello: either commercial or industrial
[15:14:20]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:14:20]	CCA.C08-UNION.i1.51023 entered observer.
[15:15:13]	deantheone loaded the character 'Chrizzy 'CJ' Johnson'
[15:15:20]	CCA.C08-UNION.i1.51023 exited observer at their location.
[15:15:20]	CCA.C08-UNION.i1.51023 entered observer.
[15:15:24]	CCA.C08-UNION.i1.51023 used command '/ViewData union'.
[15:15:26]	CCA.C08-UNION.i1.51023 used command '/ViewData chrizzy'.
[15:15:34]	deantheone loaded the character 'Chris 'Cyclops' LeVon'
[15:15:42]	Chris 'Cyclops' LeVon ran 'EquipUn' on item 'Green Citizen Suit' (#870)
[15:15:45]	[OOC] CCA.C08-UNION.i1.51023: commerce
[15:15:49]	[OOC] CCA.C08-UNION.i1.51023: what store do you want?
[15:15:53]	[OOC] Chris 'Cyclops' LeVon: yeah im in commerce
