[00:41:26]	matt saton has connected.
[00:44:20]	matt saton loaded the character 'Ryan Marnett'
[00:44:25]	Ryan Marnett entered observer.
[00:44:26]	Ryan Marnett exited observer at their location.
[00:44:27]	Ryan Marnett entered observer.
[00:44:28]	Ryan Marnett exited observer at their location.
[00:44:29]	Ryan Marnett entered observer.
[00:44:29]	Ryan Marnett exited observer at their location.
[00:44:30]	Ryan Marnett entered observer.
[00:46:20]	Ryan Marnett exited observer at their location.
[00:46:21]	Ryan Marnett has taken 75 damage from worldspawn.
[00:48:39]	Ryan Marnett entered observer.
[00:48:39]	Ryan Marnett exited observer at their location.
[00:48:41]	Ryan Marnett entered observer.
[00:48:42]	Ryan Marnett exited observer at their location.
[00:48:43]	Ryan Marnett entered observer.
[00:48:44]	Ryan Marnett exited observer at their location.
[00:48:44]	Ryan Marnett entered observer.
[00:48:46]	Ryan Marnett exited observer at their location.
[00:48:46]	Ryan Marnett entered observer.
[00:48:47]	Ryan Marnett exited observer at their location.
[00:48:49]	Ryan Marnett entered observer.
[00:48:49]	Ryan Marnett exited observer at their location.
[00:48:49]	Ryan Marnett entered observer.
[00:48:50]	Ryan Marnett exited observer at their location.
[00:48:50]	Ryan Marnett entered observer.
[00:48:51]	Ryan Marnett exited observer at their location.
[00:48:51]	Ryan Marnett entered observer.
[00:48:51]	Ryan Marnett exited observer at their location.
[00:48:51]	Ryan Marnett entered observer.
[00:48:52]	Ryan Marnett exited observer at their location.
[00:48:52]	Ryan Marnett entered observer.
[00:48:52]	Ryan Marnett exited observer at their location.
[00:48:52]	Ryan Marnett entered observer.
[00:48:53]	Ryan Marnett exited observer at their location.
[00:48:53]	Ryan Marnett entered observer.
[00:48:54]	Ryan Marnett exited observer at their location.
[00:48:54]	Ryan Marnett entered observer.
[00:48:55]	Ryan Marnett exited observer at their location.
[00:48:56]	Ryan Marnett entered observer.
[00:48:57]	Ryan Marnett exited observer at their location.
[00:48:57]	Ryan Marnett has taken 41 damage from worldspawn.
[00:48:57]	Ryan Marnett entered observer.
[00:48:58]	Ryan Marnett exited observer at their location.
[01:11:07]	FB|| light ROOM has connected.
[01:11:32]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[01:14:51]	Ryan Marnett entered observer.
[01:15:23]	Ryan Marnett exited observer at their location.
[01:15:35]	Ryan Marnett entered observer.
[01:15:43]	Ryan Marnett exited observer at their location.
[01:15:46]	Ryan Marnett entered observer.
