[03:14:42]	japan1793 has connected.
[03:16:07]	japan1793 (STEAM_0:1:534723608) has disconnected.
[19:14:16]	DRD has connected.
[19:17:41]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[19:18:18]	CCA.C08-GRID.i1.23710 entered observer.
[19:18:19]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:18:20]	CCA.C08-GRID.i1.23710 entered observer.
[19:27:32]	gasmask guy has connected.
[19:30:04]	gasmask guy loaded the character 'James Johnson'
[19:30:13]	[OOC] James Johnson: / hello
[19:30:32]	[OOC] James Johnson: i need you to print me an ID card
[19:31:03]	[OOC] CCA.C08-GRID.i1.23710: i didnt even see you join, sorry
[19:31:04]	James Johnson has taken 1 damage from worldspawn.
[19:31:05]	James Johnson has taken 1 damage from worldspawn.
[19:31:06]	James Johnson has taken 1 damage from worldspawn.
[19:31:06]	James Johnson has taken 1 damage from worldspawn.
[19:31:16]	[OOC] James Johnson: its ok
[19:31:17]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:31:18]	CCA.C08-GRID.i1.23710 entered observer.
[19:31:19]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:31:55]	James Johnson ran 'drop' on item 'Relocation Coupon' (#20924)
[19:31:55]	James Johnson has lost a 'Relocation Coupon' #20924.
[19:31:59]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Relocation Coupon' (#20924)
[19:31:59]	CCA.C08-GRID.i1.23710 has gained a 'Relocation Coupon' #20924.
[19:32:22]	CCA.C08-GRID.i1.23710 used command '/ViewObjectives'.
[19:32:41]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:33:14]	[OOC] CCA.C08-GRID.i1.23710: uh oh i forgot the filing cabinet password
[19:33:20]	CCA.C08-GRID.i1.23710 has removed the password for ''.
[19:33:20]	CCA.C08-GRID.i1.23710 opened the '' #1834 container.
[19:33:22]	Michλel's World has connected.
[19:33:26]	CCA.C08-GRID.i1.23710 closed the '' #1834 container.
