[11:45:54]	matt saton has connected.
[11:46:45]	matt saton loaded the character 'CCA.C08-GRID.i3.08313'
[11:46:47]	[OOC] CCA.C08-GRID.i3.08313: test
[11:46:48]	CCA.C08-GRID.i3.08313 entered observer.
[11:47:17]	CCA.C08-GRID.i3.08313 exited observer at their location.
[11:48:13]	CCA.C08-GRID.i3.08313 has taken 2 damage from CCA.C08-GRID.i3.08313.
[11:48:58]	CCA.C08-GRID.i3.08313 has taken 2 damage from CCA.C08-GRID.i3.08313.
[11:49:08]	CCA.C08-GRID.i3.08313 entered observer.
[11:51:10]	CCA.C08-GRID.i3.08313 used command '/CharSetThirst grid 100'.
[11:51:13]	CCA.C08-GRID.i3.08313 used command '/CharSetHunger grid 100'.
[11:51:45]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[11:54:44]	CCA.C08-GRID.i3.08313 exited observer at their location.
[11:54:47]	CCA.C08-GRID.i3.08313 entered observer.
[11:56:45]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[11:59:16]	CCA.C08-GRID.i3.08313 exited observer at their location.
[11:59:24]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [2898][ix_forcefield]'.
[11:59:25]	CCA.C08-GRID.i3.08313 entered observer.
[11:59:26]	CCA.C08-GRID.i3.08313 exited observer at their location.
[11:59:27]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [2898][ix_forcefield]'.
[11:59:29]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [2900][ix_forcefield]'.
[11:59:31]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [2898][ix_forcefield]'.
[11:59:33]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [2900][ix_forcefield]'.
[11:59:36]	CCA.C08-GRID.i3.08313 entered observer.
[12:01:45]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[12:04:26]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:04:27]	CCA.C08-GRID.i3.08313 entered observer.
[12:04:41]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:04:42]	CCA.C08-GRID.i3.08313 entered observer.
[12:05:03]	CCA.C08-GRID.i3.08313 ran 'View' on item 'Paper' (#20773)
[12:06:20]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:06:21]	CCA.C08-GRID.i3.08313 entered observer.
[12:06:24]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:06:24]	CCA.C08-GRID.i3.08313 entered observer.
[12:06:24]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:06:25]	CCA.C08-GRID.i3.08313 entered observer.
[12:06:26]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:06:26]	CCA.C08-GRID.i3.08313 entered observer.
[12:06:38]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:06:40]	CCA.C08-GRID.i3.08313 entered observer.
[12:06:43]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:06:45]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[12:06:47]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [60][ix_combinelock]'.
[12:06:48]	CCA.C08-GRID.i3.08313 entered observer.
[12:06:50]	CCA.C08-GRID.i3.08313 exited observer at their location.
[12:06:51]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [60][ix_combinelock]'.
[12:06:52]	CCA.C08-GRID.i3.08313 entered observer.
[12:07:00]	CCA.C08-GRID.i3.08313 has spawned a 'Entity [1294][ix_unionlock]'.
[12:08:37]	CCA.C08-GRID.i3.08313 used command '/ToggleRaise'.
[12:08:38]	CCA.C08-GRID.i3.08313 used command '/ToggleRaise'.
[12:11:45]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[12:19:48]	CCA.C08-GRID.i3.08313 has gained a 'Supplements' #20827.
[12:19:48]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid supplements'.
[12:19:58]	CCA.C08-GRID.i3.08313 used command '/CharGiveItem grid citize nsupplements'.
[12:20:06]	CCA.C08-GRID.i3.08313 has gained a 'Civil Protection Functionary Grade Food Product' #20828.
