[10:56:44]	matt saton has connected.
[10:57:56]	matt saton loaded the character 'Lee Maylor'
[10:58:47]	Lee Maylor entered observer.
[11:02:18]	Lee Maylor exited observer at their location.
[11:02:18]	Lee Maylor entered observer.
[11:02:18]	Lee Maylor exited observer at their location.
[11:02:19]	Lee Maylor entered observer.
[11:24:25]	matt saton loaded the character 'The Consul'
[11:24:26]	The Consul entered observer.
[11:24:29]	The Consul exited observer at their location.
[11:24:36]	The Consul entered observer.
[11:24:43]	The Consul exited observer at their location.
[11:24:44]	The Consul entered observer.
[11:24:44]	The Consul exited observer at their location.
[11:24:44]	The Consul entered observer.
[11:24:45]	The Consul exited observer at their location.
[11:24:45]	The Consul entered observer.
[11:24:46]	The Consul exited observer at their location.
[11:24:46]	The Consul entered observer.
[11:24:50]	The Consul exited observer at their location.
[11:25:38]	The Consul entered observer.
[11:25:39]	The Consul exited observer at their location.
[11:25:44]	The Consul entered observer.
[11:26:33]	The Consul exited observer at their location.
[11:26:33]	The Consul has taken 1 damage from worldspawn.
[11:26:34]	The Consul has taken 1 damage from worldspawn.
[11:26:34]	The Consul entered observer.
[11:26:36]	The Consul exited observer at their location.
[11:26:36]	The Consul has taken 1 damage from worldspawn.
[11:26:37]	The Consul has taken 1 damage from worldspawn.
[11:26:37]	The Consul entered observer.
[11:27:04]	The Consul exited observer at their location.
[11:27:04]	The Consul entered observer.
[11:27:05]	The Consul exited observer at their location.
[11:27:05]	The Consul entered observer.
[11:27:05]	The Consul exited observer at their location.
[11:27:06]	The Consul entered observer.
[11:27:09]	The Consul exited observer at their location.
[11:27:10]	The Consul entered observer.
[11:27:11]	The Consul exited observer at their location.
[11:27:11]	The Consul entered observer.
[11:27:41]	The Consul ran 'View' on item 'Paper' (#11196)
[11:27:47]	The Consul ran 'View' on item 'Paper' (#11097)
[11:28:00]	The Consul has gained a 'Resin' #12856.
[11:28:00]	The Consul used command '/CharGiveItem consul resin'.
[11:28:02]	The Consul has gained a 'Resin' #12857.
[11:28:02]	The Consul has gained a 'Resin' #12858.
[11:28:02]	The Consul has gained a 'Resin' #12859.
[11:28:02]	The Consul has gained a 'Resin' #12860.
[11:28:02]	The Consul has gained a 'Resin' #12861.
[11:28:02]	The Consul has gained a 'Resin' #12862.
[11:28:02]	The Consul has gained a 'Resin' #12863.
[11:28:02]	The Consul has gained a 'Resin' #12864.
[11:28:02]	The Consul has gained a 'Resin' #12865.
[11:28:02]	The Consul has gained a 'Resin' #12866.
[11:28:02]	The Consul has gained a 'Resin' #12867.
[11:28:02]	The Consul has gained a 'Resin' #12868.
[11:28:02]	The Consul has gained a 'Resin' #12869.
[11:28:02]	The Consul has gained a 'Resin' #12870.
[11:28:02]	The Consul has gained a 'Resin' #12871.
[11:28:02]	The Consul has gained a 'Resin' #12872.
[11:28:02]	The Consul has gained a 'Resin' #12873.
[11:28:02]	The Consul has gained a 'Resin' #12874.
[11:28:02]	The Consul has gained a 'Resin' #12875.
[11:28:02]	The Consul has gained a 'Resin' #12876.
[11:28:02]	The Consul has gained a 'Resin' #12877.
[11:28:02]	The Consul used command '/CharGiveItem consul resin 9999'.
[11:28:09]	The Consul ran 'drop' on item 'Resin' (#12870)
[11:28:09]	The Consul has lost a 'Resin' #12870.
[11:28:09]	The Consul used command '/ToggleRaise'.
[11:28:10]	The Consul used command '/ToggleRaise'.
[11:28:23]	The Consul ran 'drop' on item 'Resin' (#12874)
[11:28:23]	The Consul has lost a 'Resin' #12874.
[11:28:31]	The Consul opened the '' #1327 container.
[11:28:33]	The Consul closed the '' #1327 container.
[11:28:43]	The Consul ran 'drop' on item 'Resin' (#12875)
[11:28:43]	The Consul has lost a 'Resin' #12875.
[11:29:17]	The Consul ran 'drop' on item 'Resin' (#12862)
[11:29:17]	The Consul has lost a 'Resin' #12862.
[11:29:25]	The Consul has gained 50 tokens.
[11:29:34]	The Consul ran 'View' on item 'Notepad' (#10764)
[11:29:45]	The Consul ran 'View' on item 'Notepad' (#10764)
[11:29:59]	The Consul ran 'drop' on item 'Resin' (#12876)
[11:29:59]	The Consul has lost a 'Resin' #12876.
[11:30:05]	The Consul ran 'drop' on item 'Resin' (#12869)
[11:30:05]	The Consul has lost a 'Resin' #12869.
[11:30:20]	The Consul ran 'drop' on item 'Resin' (#12877)
[11:30:20]	The Consul has lost a 'Resin' #12877.
[11:30:26]	The Consul opened the '' #1197 container.
[11:30:29]	The Consul closed the '' #1197 container.
[11:30:35]	The Consul ran 'drop' on item 'Resin' (#12863)
[11:30:35]	The Consul has lost a 'Resin' #12863.
[11:30:37]	The Consul ran 'drop' on item 'Resin' (#12864)
[11:30:37]	The Consul has lost a 'Resin' #12864.
[11:30:46]	The Consul ran 'drop' on item 'Resin' (#12873)
[11:30:46]	The Consul has lost a 'Resin' #12873.
[11:30:54]	The Consul exited observer at their location.
[11:30:55]	The Consul entered observer.
[11:30:55]	The Consul exited observer at their location.
[11:31:07]	The Consul entered observer.
[11:31:29]	The Consul exited observer at their location.
[11:31:32]	The Consul entered observer.
[11:31:34]	The Consul exited observer at their location.
[11:31:35]	The Consul entered observer.
[11:31:37]	The Consul exited observer at their location.
[11:31:40]	The Consul entered observer.
[11:31:42]	The Consul exited observer at their location.
[11:31:51]	The Consul entered observer.
