[15:03:47]	hnbug01 has connected.
[15:04:46]	hnbug01 loaded the character 'Feng Yi 'Eric' Hseuh'
[15:24:08]	AXION has connected.
[15:24:36]	matt saton has connected.
[15:26:31]	queer has connected.
[15:26:49]	AXION loaded the character 'CCA.C08-GRID.i4.81530'
[15:26:51]	CCA.C08-GRID.i4.81530 used command '/Radio 10-8'.
[15:27:14]	matt saton loaded the character 'Anne Wayle'
[15:27:16]	Anne Wayle entered observer.
[15:27:20]	[OOC] Anne Wayle: sup
[15:28:41]	[OOC] CCA.C08-GRID.i4.81530: What ya doing ?
[15:28:49]	CCA.C08-GRID.i4.81530 ran 'take' on item 'Euros' (#4827)
[15:28:49]	CCA.C08-GRID.i4.81530 has gained a 'Euros' #4827.
[15:28:58]	[OOC] Anne Wayle: general server stuff atm
[15:29:02]	[OOC] CCA.C08-GRID.i4.81530: aha
[15:29:16]	Anne Wayle exited observer at their location.
[15:29:23]	Anne Wayle entered observer.
[15:29:36]	Anne Wayle exited observer at their location.
[15:29:43]	[LOOC] CCA.C08-GRID.i4.81530: Movement Violation
[15:29:48]	[LOOC] Anne Wayle: no u
[15:29:48]	Anne Wayle entered observer.
[15:29:50]	[LOOC] CCA.C08-GRID.i4.81530: Prepare to be Re-Educated
[15:29:51]	Anne Wayle exited observer at their location.
[15:29:59]	Anne Wayle entered observer.
[15:30:12]	Anne Wayle exited observer at their location.
[15:30:12]	Anne Wayle entered observer.
[15:30:13]	Anne Wayle exited observer at their location.
[15:30:23]	Anne Wayle entered observer.
[15:30:29]	CCA.C08-GRID.i4.81530 ran 'View' on item 'Paper' (#20158)
[15:30:30]	Anne Wayle exited observer at their location.
[15:30:30]	Anne Wayle entered observer.
[15:30:35]	CCA.C08-GRID.i4.81530 destroyed a 'Paper' #20158.
[15:30:57]	[OOC] CCA.C08-GRID.i4.81530: Anyone comming ?
[15:31:04]	[OOC] CCA.C08-GRID.i4.81530: Or is it just you ?
[15:31:05]	[OOC] Anne Wayle: unsure
[15:31:21]	[OOC] CCA.C08-GRID.i4.81530: aha
[15:31:27]	[OOC] CCA.C08-GRID.i4.81530: brb
[15:31:31]	AXION (STEAM_0:1:54101851) has disconnected.
[15:34:35]	Anne Wayle exited observer at their location.
[15:34:35]	Anne Wayle entered observer.
[15:34:36]	Anne Wayle exited observer at their location.
[15:34:37]	[OOC] Anne Wayle: test
[15:34:38]	Anne Wayle entered observer.
[15:34:52]	Anne Wayle used command '/ToggleRaise'.
[15:34:53]	queer loaded the character 'CCA.C08-GRID.i3.39867'
[15:34:53]	Anne Wayle exited observer at their location.
[15:34:54]	Anne Wayle entered observer.
[15:34:55]	Anne Wayle exited observer at their location.
[15:35:34]	queer (STEAM_0:0:38537787) has disconnected.
[15:35:59]	Anne Wayle entered observer.
[15:36:02]	Anne Wayle used command '/ToggleRaise'.
[15:36:30]	Anne Wayle exited observer at their location.
[15:36:33]	Anne Wayle entered observer.
[15:36:40]	Anne Wayle exited observer at their location.
[15:36:41]	Anne Wayle entered observer.
[15:48:55]	DRD has connected.
[15:52:25]	DRD loaded the character 'Wilm Hosenfeld'
[15:52:39]	Wilm Hosenfeld entered observer.
[15:52:50]	[OOC] Wilm Hosenfeld: hello
[15:54:12]	Wilm Hosenfeld exited observer at their location.
[15:54:12]	Wilm Hosenfeld has taken 1 damage from worldspawn.
[15:54:13]	Wilm Hosenfeld has taken 1 damage from worldspawn.
[15:54:14]	Wilm Hosenfeld has taken 1 damage from worldspawn.
[15:54:15]	Wilm Hosenfeld entered observer.
[15:56:30]	Wilm Hosenfeld opened the '' #1197 container.
[15:57:02]	Wilm Hosenfeld closed the '' #1197 container.
[15:57:36]	Wilm Hosenfeld ran 'View' on item 'Paper' (#20319)
[15:59:00]	Wilm Hosenfeld exited observer at their location.
[15:59:00]	Wilm Hosenfeld has taken 1 damage from worldspawn.
[15:59:01]	Wilm Hosenfeld entered observer.
[15:59:02]	Wilm Hosenfeld exited observer at their location.
[15:59:02]	Wilm Hosenfeld has taken 1 damage from worldspawn.
[15:59:02]	Wilm Hosenfeld entered observer.
[15:59:03]	Wilm Hosenfeld exited observer at their location.
[15:59:03]	Wilm Hosenfeld has taken 1 damage from worldspawn.
[15:59:03]	Wilm Hosenfeld entered observer.
[15:59:27]	Wilm Hosenfeld ran 'View' on item 'Notepad' (#13966)
[15:59:35]	Wilm Hosenfeld opened the '' #1488 container.
[15:59:38]	Wilm Hosenfeld closed the '' #1488 container.
[16:00:15]	Wilm Hosenfeld exited observer at their location.
[16:00:20]	DRD (STEAM_0:0:193599766) has disconnected.
[16:52:30]	The Diophantine has connected.
[16:53:20]	The Diophantine loaded the character 'Howard Hill'
[16:53:40]	Howard Hill opened the '' #1877 container.
[16:53:42]	Howard Hill closed the '' #1877 container.
[16:54:09]	Howard Hill used the 'Street Market' vendor.
[16:54:22]	Howard Hill opened the '' #1895 container.
[16:54:26]	Howard Hill has gained a 'Pack of Nails' #1833.
[16:54:28]	Howard Hill has gained a 'Scrap Metal' #17888.
[16:54:31]	Howard Hill has gained a 'Flashlight' #19433.
[16:54:32]	Howard Hill closed the '' #1895 container.
[16:54:42]	Howard Hill opened the '' #1540 container.
[16:54:44]	Howard Hill closed the '' #1540 container.
[16:54:56]	Howard Hill opened the '' #1197 container.
[16:54:58]	Howard Hill closed the '' #1197 container.
