[11:08:26]	matt saton has connected.
[11:09:40]	matt saton loaded the character 'Lee Maylor'
[11:09:41]	Lee Maylor entered observer.
[11:11:45]	Lee Maylor exited observer at their location.
[11:11:46]	Lee Maylor entered observer.
[11:11:55]	Lee Maylor exited observer at their location.
[11:11:56]	Lee Maylor entered observer.
[11:11:56]	Lee Maylor exited observer at their location.
[11:12:04]	Lee Maylor entered observer.
[11:12:10]	Lee Maylor exited observer at their location.
[11:12:11]	Lee Maylor entered observer.
[11:12:12]	Lee Maylor exited observer at their location.
[11:12:14]	Lee Maylor has spawned 'models/props_combine/combine_interface001.mdl'.
[11:12:19]	Lee Maylor has spawned 'models/props_combine/combine_intmonitor001.mdl'.
[11:12:34]	Lee Maylor entered observer.
[11:12:35]	queer has connected.
[11:12:36]	Lee Maylor exited observer at their location.
[11:12:55]	Lee Maylor entered observer.
[11:12:58]	Lee Maylor exited observer at their location.
[11:12:58]	Lee Maylor entered observer.
[11:13:15]	Lee Maylor exited observer at their location.
[11:13:32]	Lee Maylor has spawned 'models/props_lab/plotter.mdl'.
[11:13:52]	Lee Maylor entered observer.
[11:13:53]	Lee Maylor exited observer at their location.
[11:13:54]	Lee Maylor entered observer.
[11:13:54]	Lee Maylor exited observer at their location.
[11:13:55]	Lee Maylor has spawned 'models/props_lab/reciever01a.mdl'.
[11:14:00]	Lee Maylor has spawned 'models/props_lab/reciever01b.mdl'.
[11:14:02]	queer loaded the character 'PFC Emily Brown'
[11:14:19]	Lee Maylor has spawned 'models/props_lab/servers.mdl'.
[11:14:24]	PFC Emily Brown used command '/ToggleRaise'.
[11:14:27]	Lee Maylor has spawned 'models/props_lab/reciever_cart.mdl'.
[11:14:30]	[OOC] PFC Emily Brown: void shot testing
[11:14:36]	[OOC] PFC Emily Brown: nvm dont even have ammo
[11:14:37]	[OOC] Lee Maylor: gotcha gotcha
[11:14:38]	PFC Emily Brown used command '/ToggleRaise'.
[11:14:42]	PFC Emily Brown used command '/ToggleRaise'.
[11:14:42]	[OOC] Lee Maylor: now you do
[11:14:45]	PFC Emily Brown used command '/ToggleRaise'.
[11:14:47]	PFC Emily Brown used command '/ToggleRaise'.
[11:14:55]	[OOC] PFC Emily Brown: ok thx
[11:14:58]	PFC Emily Brown used command '/ToggleRaise'.
[11:15:06]	[OOC] PFC Emily Brown: btw
[11:15:09]	[OOC] PFC Emily Brown: on the conscript guide
[11:15:10]	Lee Maylor has spawned 'models/props_lab/citizenradio.mdl'.
[11:15:17]	[OOC] Lee Maylor: mp5k borked
[11:15:32]	Lee Maylor entered observer.
[11:15:32]	[OOC] PFC Emily Brown: is there a section that tells you what equipment each rank is entitled to? because im either blind or its not there
[11:15:34]	Lee Maylor exited observer at their location.
[11:15:34]	Lee Maylor entered observer.
[11:15:35]	Lee Maylor exited observer at their location.
[11:15:37]	[OOC] Lee Maylor: no it's 100% there
[11:16:06]	[OOC] Lee Maylor: the rollout section
[11:16:33]	Lee Maylor has spawned 'models/props_c17/consolebox01a.mdl'.
[11:16:37]	Lee Maylor has spawned 'models/props_c17/consolebox03a.mdl'.
[11:16:49]	[OOC] PFC Emily Brown: oh i see
[11:16:51]	[OOC] PFC Emily Brown: thats it
[11:16:53]	[OOC] PFC Emily Brown: thanks
[11:16:59]	[OOC] Lee Maylor: yeye
[11:17:03]	[OOC] PFC Emily Brown: wait mp5k?
[11:17:06]	[OOC] PFC Emily Brown: i have an mp7
[11:17:08]	[OOC] Lee Maylor: mp5k borked
[11:17:19]	[OOC] PFC Emily Brown: qrm gave mp7 :(
[11:17:27]	[OOC] Lee Maylor: mp5k borked for now
[11:17:28]	[OOC] Lee Maylor: not working
[11:17:30]	[OOC] Lee Maylor: no worky righty nowy
[11:17:31]	[OOC] PFC Emily Brown: oh i see
[11:18:58]	[OOC] Lee Maylor: 20 bucks and my collarbone say you're gonna be the only one to show up
[11:19:06]	Lee Maylor entered observer.
[11:19:09]	Lee Maylor exited observer at their location.
[11:19:10]	Lee Maylor entered observer.
[11:19:35]	Lee Maylor has spawned a 'NPC [689][monster_shockroach]'.
[11:19:43]	Lee Maylor has spawned a 'NPC [2899][monster_pitdrone]'.
[11:19:44]	Lee Maylor exited observer at their location.
[11:19:46]	Lee Maylor entered observer.
[11:19:48]	Lee Maylor exited observer at their location.
[11:19:52]	Lee Maylor entered observer.
[11:20:03]	Lee Maylor exited observer at their location.
[11:20:13]	Lee Maylor entered observer.
[11:20:14]	Lee Maylor exited observer at their location.
[11:20:18]	Lee Maylor has gained a 'Notepad' #20805.
[11:20:18]	Lee Maylor used command '/CharGiveItem maylor notepad'.
[11:20:21]	Lee Maylor ran 'Edit' on item 'Notepad' (#20805)
[11:21:18]	Lee Maylor ran 'drop' on item 'Notepad' (#20805)
[11:21:18]	Lee Maylor has lost a 'Notepad' #20805.
[11:21:19]	Lee Maylor entered observer.
[11:21:22]	Lee Maylor exited observer at their location.
[11:21:34]	[OOC] PFC Emily Brown: ;/
[11:21:35]	Lee Maylor entered observer.
[11:21:36]	Lee Maylor exited observer at their location.
[11:21:37]	Lee Maylor entered observer.
[11:21:37]	[OOC] PFC Emily Brown: oh well
[11:21:39]	Lee Maylor exited observer at their location.
[11:21:42]	[OOC] Lee Maylor: i'm setting stuff up atm
[11:21:42]	[OOC] PFC Emily Brown: its quite early for our americans
[11:21:43]	Lee Maylor entered observer.
[11:21:49]	Lee Maylor has gained a 'Notepad' #20806.
[11:21:49]	Lee Maylor used command '/CharGiveItem maylor notepad'.
[11:21:51]	Lee Maylor exited observer at their location.
[11:21:51]	Lee Maylor entered observer.
[11:21:52]	Lee Maylor exited observer at their location.
[11:21:54]	Lee Maylor entered observer.
[11:21:54]	Lee Maylor exited observer at their location.
[11:21:54]	Lee Maylor entered observer.
[11:21:55]	Lee Maylor exited observer at their location.
[11:21:56]	Lee Maylor entered observer.
[11:21:57]	Lee Maylor exited observer at their location.
[11:22:03]	[OOC] Lee Maylor: there's one american showing up for the event and it's at like 1pm
[11:22:05]	Lee Maylor ran 'Edit' on item 'Notepad' (#20806)
[11:22:51]	[OOC] PFC Emily Brown: oh
[11:23:00]	[OOC] PFC Emily Brown: yea its a weekday isnt it?
[11:23:21]	[OOC] Lee Maylor: friday yeah, but i figured school wouldn't start until september
[11:23:24]	Lee Maylor ran 'View' on item 'Notepad' (#20806)
[11:23:28]	Lee Maylor ran 'drop' on item 'Notepad' (#20806)
[11:23:28]	Lee Maylor has lost a 'Notepad' #20806.
[11:23:31]	[OOC] PFC Emily Brown: yeah mine doesnt but
[11:23:42]	Lee Maylor entered observer.
[11:23:44]	Lee Maylor exited observer at their location.
[11:23:45]	Lee Maylor entered observer.
[11:23:50]	[OOC] PFC Emily Brown: a lot of my friends school starts in august and 
[11:23:51]	[OOC] PFC Emily Brown: work also
[11:23:52]	[OOC] Lee Maylor: yeah
[11:23:56]	Lee Maylor exited observer at their location.
[11:23:58]	[OOC] Lee Maylor: true
[11:23:58]	Lee Maylor entered observer.
[11:24:04]	Lee Maylor exited observer at their location.
[11:24:06]	Lee Maylor entered observer.
[11:24:13]	Lee Maylor exited observer at their location.
[11:24:16]	Lee Maylor has gained a 'Notepad' #20806.
[11:24:16]	Lee Maylor used command '/CharGiveItem maylor notepad'.
[11:24:18]	Lee Maylor ran 'Edit' on item 'Notepad' (#20806)
[11:24:46]	Lee Maylor entered observer.
[11:24:49]	Lee Maylor exited observer at their location.
[11:24:58]	Lee Maylor has spawned 'models/props_combine/combine_interface001.mdl'.
[11:24:59]	[OOC] PFC Emily Brown: what other conscripts is there ?
[11:25:02]	[OOC] PFC Emily Brown: other than me?
[11:25:05]	[OOC] Lee Maylor: lightroom
[11:25:08]	[OOC] Lee Maylor: an duhhh
[11:25:11]	[OOC] Lee Maylor: off the top of my head i can't remember
[11:25:20]	Lee Maylor has spawned 'models/props_combine/combine_interface003.mdl'.
[11:25:27]	Lee Maylor has spawned 'models/props_combine/combine_intmonitor001.mdl'.
[11:25:57]	Lee Maylor entered observer.
[11:26:00]	Lee Maylor exited observer at their location.
[11:26:03]	Lee Maylor entered observer.
[11:26:09]	Lee Maylor exited observer at their location.
[11:26:12]	Lee Maylor has spawned 'models/props_combine/combine_lock01.mdl'.
[11:26:27]	Lee Maylor has spawned 'models/props_combine/combine_lock01.mdl'.
[11:26:57]	Lee Maylor entered observer.
[11:27:10]	Lee Maylor exited observer at their location.
[11:27:15]	Lee Maylor has spawned 'models/Combine_turrets/Floor_turret.mdl'.
[11:27:20]	Lee Maylor has spawned 'models/Combine_turrets/Floor_turret.mdl'.
[11:27:34]	Lee Maylor has spawned 'models/combine_turrets/ceiling_turret.mdl'.
[11:27:35]	Lee Maylor has spawned 'models/combine_turrets/ground_turret.mdl'.
[11:27:37]	Lee Maylor has spawned 'models/combine_turrets/ceiling_turret.mdl'.
[11:27:41]	Lee Maylor has spawned 'models/combine_turrets/ground_turret.mdl'.
[11:27:48]	Lee Maylor has spawned 'models/combine_camera/combine_camera.mdl'.
[11:27:52]	Lee Maylor has spawned 'models/combine_turrets/floor_turret.mdl'.
[11:27:56]	Lee Maylor has spawned 'models/combine_turrets/floor_turret.mdl'.
[11:28:10]	Lee Maylor entered observer.
[11:28:11]	Lee Maylor exited observer at their location.
[11:28:13]	Lee Maylor entered observer.
[11:28:22]	Lee Maylor exited observer at their location.
[11:28:28]	Lee Maylor entered observer.
[11:28:48]	Lee Maylor exited observer at their location.
[11:28:57]	Lee Maylor entered observer.
[11:29:00]	Lee Maylor exited observer at their location.
[11:29:03]	Lee Maylor entered observer.
[11:29:14]	Lee Maylor exited observer at their location.
[11:29:22]	Lee Maylor has spawned a 'Entity [2913][stormfox_digitalclock]'.
[11:29:28]	Lee Maylor has spawned 'models/maxofs2d/hover_plate.mdl'.
[11:29:33]	Lee Maylor entered observer.
[11:29:34]	Lee Maylor exited observer at their location.
[11:29:36]	Lee Maylor has spawned 'models/maxofs2d/hover_plate.mdl'.
[11:29:59]	Lee Maylor has spawned 'models/mortarsynth.mdl'.
[11:30:35]	[OOC] Lee Maylor: fuck.
[11:30:40]	[OOC] Lee Maylor: the effect resizer is gone
[11:30:49]	Lee Maylor entered observer.
[11:30:51]	Lee Maylor exited observer at their location.
[11:30:56]	Lee Maylor entered observer.
[11:31:12]	[OOC] Lee Maylor: WAIT NO IDIDN'T
[11:31:12]	Lee Maylor exited observer at their location.
[11:31:28]	[OOC] Lee Maylor: parodn me what the shit
[11:31:49]	Lee Maylor has spawned 'models/alyxmask.mdl'.
[11:32:00]	Lee Maylor has spawned 'models/mossman.mdl'.
[11:32:02]	Lee Maylor has spawned 'models/odessa.mdl'.
[11:32:04]	Lee Maylor has spawned 'models/seagull.mdl'.
[11:32:05]	Lee Maylor entered observer.
[11:32:06]	Lee Maylor exited observer at their location.
[11:32:07]	Lee Maylor entered observer.
[11:32:31]	[LOOC] Lee Maylor: question for you hotshot
[11:32:32]	Lee Maylor exited observer at their location.
[11:32:42]	[LOOC] Lee Maylor: nevermind
[11:32:44]	[LOOC] Lee Maylor: fuck me
[11:32:44]	Lee Maylor entered observer.
[11:33:56]	Lee Maylor exited observer at their location.
[11:33:57]	Lee Maylor entered observer.
[11:34:16]	Lee Maylor exited observer at their location.
[11:34:23]	Lee Maylor entered observer.
[11:34:28]	Lee Maylor exited observer at their location.
[11:34:32]	[OOC] Lee Maylor: stacy's dad fucking rocks as a song
[11:34:37]	[OOC] Lee Maylor: wait no i got thisbackwards
[11:34:40]	[OOC] Lee Maylor: stacy's mom dad is a good song
[11:34:42]	[OOC] Lee Maylor: but stacy's dad
[11:34:44]	[OOC] Lee Maylor: fucking
[11:34:45]	[OOC] Lee Maylor: SLAPS
[11:34:46]	Lee Maylor entered observer.
[11:34:48]	Lee Maylor exited observer at their location.
[11:34:48]	Lee Maylor entered observer.
[11:34:48]	Lee Maylor exited observer at their location.
[11:34:48]	Lee Maylor entered observer.
[11:34:49]	Lee Maylor exited observer at their location.
[11:35:01]	matt saton loaded the character 'CAC.C11-CRM.28454'
[11:35:30]	CAC.C17-CRM.33754 used command '/CharSetClass crm cremator'.
[11:35:55]	CAC.C08-CRM.EXP.33754 used command '/CharSetName crm CAC.C08-CRM.EXP.33754'.
[11:36:20]	CAC.C08-CRM.EXP.33754 used command '/CharSetModel crm models/purmator.mdl'.
[11:36:41]	CAC.C08-CRM.EXP.33754 entered observer.
[11:37:01]	CAC.C08-CRM.EXP.33754 exited observer at their location.
[11:37:09]	matt saton loaded the character 'Lee Maylor'
[11:37:10]	Lee Maylor entered observer.
[11:37:20]	Lee Maylor ran 'Edit' on item 'Notepad' (#20806)
[11:37:29]	Lee Maylor exited observer at their location.
[11:37:31]	Lee Maylor ran 'Edit' on item 'Notepad' (#20806)
[11:40:34]	Lee Maylor entered observer.
[11:40:35]	Lee Maylor exited observer at their location.
[11:40:37]	Lee Maylor ran 'drop' on item 'Notepad' (#20806)
[11:40:37]	Lee Maylor has lost a 'Notepad' #20806.
[11:40:49]	Lee Maylor entered observer.
[11:40:53]	Lee Maylor exited observer at their location.
[11:40:53]	Lee Maylor entered observer.
[11:40:55]	Lee Maylor exited observer at their location.
[11:40:56]	Lee Maylor entered observer.
[11:41:00]	Lee Maylor exited observer at their location.
[11:41:00]	Lee Maylor entered observer.
[11:41:01]	Lee Maylor exited observer at their location.
[11:41:01]	Lee Maylor entered observer.
[11:41:18]	Lee Maylor has spawned 'models/sandbarnacle.mdl'.
[11:41:22]	Lee Maylor has spawned 'models/staleak.mdl'.
[11:41:23]	Lee Maylor has spawned 'models/stalker_old.mdl'.
[11:41:28]	Lee Maylor has spawned 'models/staleak.mdl'.
[11:41:56]	Lee Maylor has spawned 'models/gibs/bmpod/sack.mdl'.
[11:41:59]	Lee Maylor has spawned 'models/gonzo/bigmommapodimproved/bigmommapodimproved.mdl'.
[11:42:04]	Lee Maylor has spawned 'models/gonzo/bigmommapod/bigmommapod.mdl'.
[11:42:12]	Lee Maylor has spawned 'models/gonzo/bigmommapodimproved/bigmommapodimproved.mdl'.
