[13:11:06]	Bean has connected.
[13:11:34]	Bean loaded the character 'Alex Palovichov'
[13:12:14]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:12:16]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[13:12:24]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:14:30]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[13:14:33]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:17:18]	Alex Palovichov has taken 5 damage from Alex Palovichov.
[13:17:18]	Alex Palovichov has killed Alex Palovichov.
[13:17:18]	Alex Palovichov has gained 10 tokens.
[13:19:49]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[13:23:31]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:23:41]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[13:24:34]	Alex Palovichov has taken 1 damage from worldspawn.
[13:24:35]	Alex Palovichov has taken 1 damage from worldspawn.
[13:24:35]	Alex Palovichov has taken 1 damage from worldspawn.
[13:24:36]	Alex Palovichov has taken 1 damage from worldspawn.
[13:24:37]	Alex Palovichov has taken 1 damage from worldspawn.
[13:24:37]	Garlic Slut has connected.
[13:24:38]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:24:41]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[13:24:45]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:25:37]	Garlic Slut loaded the character 'CCA.C08-GRID.i3.39867'
[13:25:46]	CCA.C08-GRID.i3.39867 used command '/ToggleRaise'.
[13:25:47]	CCA.C08-GRID.i3.39867 used command '/ToggleRaise'.
[13:25:59]	[OOC] CCA.C08-GRID.i3.39867: shalom 
[13:26:26]	[OOC] Alex Palovichov: Hello
[13:27:27]	CCA.C08-GRID.i3.39867 used command '/ToggleRaise'.
[13:27:28]	CCA.C08-GRID.i3.39867 used command '/ToggleRaise'.
[13:28:42]	[ME] CCA.C08-GRID.i3.39867: mumbles under her breath
[13:29:05]	[ME] CCA.C08-GRID.i3.39867: types something onto her PDA
[13:29:16]	CCA.C08-GRID.i3.39867 used command '/ViewData alex'.
[13:29:29]	CCA.C08-GRID.i3.39867 used command '/ViewData alex'.
[13:29:33]	[LOOC] CCA.C08-GRID.i3.39867: viewdata isnt working
[13:29:36]	[LOOC] CCA.C08-GRID.i3.39867: for some reason
[13:29:41]	[LOOC] Alex Palovichov: :I
[13:29:52]	[LOOC] CCA.C08-GRID.i3.39867: 1 sec let me dm drd
[13:30:37]	CCA.C08-GRID.i3.39867 has gained 10 tokens.
[13:32:30]	[LOOC] CCA.C08-GRID.i3.39867: sorry no ones been on this server for like months
[13:32:41]	[LOOC] Alex Palovichov: Yeah, I haven't seen much people on 
[13:32:58]	[LOOC] CCA.C08-GRID.i3.39867: i havent been on it myself so if the command broke i wasn't made aware
[13:33:09]	[LOOC] CCA.C08-GRID.i3.39867: /oldviewdata isn't a command anymore so idk what happened
[13:33:18]	[LOOC] CCA.C08-GRID.i3.39867: 1 sec
[13:33:43]	CCA.C08-GRID.i3.39867 used command '/ViewData ale'.
[13:33:52]	CCA.C08-GRID.i3.39867 used command '/ViewData alex'.
[13:33:57]	CCA.C08-GRID.i3.39867 used command '/ViewData alex'.
[13:34:00]	CCA.C08-GRID.i3.39867 used command '/ViewData a'.
[13:34:40]	[LOOC] CCA.C08-GRID.i3.39867: alright its fine ill just process you and put input your information once someone figures out what happened
[13:34:42]	[LOOC] CCA.C08-GRID.i3.39867: apologies
[13:35:37]	CCA.C08-GRID.i3.39867 has gained 10 tokens.
[13:36:22]	[ME] Alex Palovichov: Seems to ponder, attempting to think of a response
[13:37:13]	[ME] CCA.C08-GRID.i3.39867: fiddles with the settings on her stunstick, humming to herself through the vocoder.
[13:37:36]	[LOOC] CCA.C08-GRID.i3.39867: heads up this server is set in 2006
[13:37:41]	[LOOC] Alex Palovichov: Dah shit
[13:37:46]	[LOOC] CCA.C08-GRID.i3.39867: yuh
[13:37:49]	[LOOC] Alex Palovichov: Making me think of a response and shit
[13:38:25]	[ME] CCA.C08-GRID.i3.39867: squints under the mask, before typing something into her PDA
