[11:06:46]	Nums has connected.
[11:07:45]	Nums loaded the character 'Finan O'Conall'
[11:07:56]	Finan O'Conall opened the '' #2778 container.
[11:08:01]	Finan O'Conall closed the '' #2778 container.
[11:08:05]	Finan O'Conall ran 'drop' on item 'AI-2 Medikit' (#29360)
[11:08:05]	Finan O'Conall has lost a 'AI-2 Medikit' #29360.
[11:08:08]	Finan O'Conall ran 'take' on item 'AI-2 Medikit' (#29360)
[11:08:08]	Finan O'Conall has gained a 'AI-2 Medikit' #29360.
[11:08:14]	Finan O'Conall opened the '' #2778 container.
[11:08:23]	Finan O'Conall closed the '' #2778 container.
[11:08:28]	Finan O'Conall ran 'EquipUn' on item 'Axe' (#28822)
[11:08:29]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[11:08:58]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:09:16]	Finan O'Conall has taken 5 damage from npc_headcrab_poison.
[11:09:16]	Finan O'Conall has taken 13 damage from npc_headcrab_poison.
[11:09:20]	npc_poisonzombie destroyed a 'Rock' #29246.
[11:09:20]	Finan O'Conall has taken 5 damage from npc_headcrab_poison.
[11:09:20]	Finan O'Conall has taken 8 damage from npc_headcrab_poison.
[11:09:29]	Finan O'Conall has gained 20 tokens.
[11:10:01]	Finan O'Conall has gained 5 tokens.
[11:10:08]	Finan O'Conall has taken 10 damage from npc_zombine.
[11:10:08]	npc_zombine has killed Finan O'Conall.
[11:10:10]	npc_zombine destroyed a 'Wires' #29241.
[11:10:10]	npc_zombine destroyed a 'Scrap Metal' #29282.
[11:10:10]	npc_zombine destroyed a 'Wires' #29151.
[11:10:34]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[11:12:12]	Finan O'Conall has gained 5 tokens.
[11:12:12]	Finan O'Conall has taken 5 damage from npc_headcrab.
[11:12:27]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:12:57]	Finan O'Conall has gained 20 tokens.
[11:13:11]	Finan O'Conall has taken 5 damage from npc_fastzombie.
[11:13:12]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[11:13:12]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[11:13:15]	Finan O'Conall has gained 10 tokens.
[11:13:30]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:31]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:33]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:35]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:37]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:39]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:41]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:43]	Finan O'Conall has taken 10 damage from npc_zombie.
[11:13:43]	npc_zombie has killed Finan O'Conall.
[11:14:50]	Nums loaded the character 'CCA.C17-RCT.77460'
[11:16:32]	CCA.C17-RCT.77460 opened the '' #2374 container.
[11:16:37]	CCA.C17-RCT.77460 has given 155 tokens to '' #2374 (155 tokens left).
[11:16:41]	CCA.C17-RCT.77460 closed the '' #2374 container.
[11:16:42]	CCA.C17-RCT.77460 opened the '' #2374 container.
[11:16:44]	CCA.C17-RCT.77460 closed the '' #2374 container.
[11:17:02]	CCA.C17-RCT.77460 has taken 68 damage from worldspawn.
[11:17:16]	Nums loaded the character 'Finan O'Conall'
[11:17:20]	Finan O'Conall opened the '' #2374 container.
[11:17:26]	Finan O'Conall has taken 155 tokens from '' #2374 (0 tokens left).
[11:17:28]	Finan O'Conall closed the '' #2374 container.
[11:17:42]	Finan O'Conall used the 'Shopkeeper Jim' vendor.
[11:17:54]	Finan O'Conall has lost 8 tokens.
[11:17:54]	Finan O'Conall has gained a 'UU Brand Bandage' #29423.
[11:18:30]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[11:19:22]	Finan O'Conall has taken 5 damage from npc_headcrab_poison.
[11:19:22]	Finan O'Conall has taken 94 damage from npc_headcrab_poison.
[11:19:23]	Finan O'Conall has taken 5 damage from npc_headcrab.
[11:19:23]	npc_headcrab has killed Finan O'Conall.
[11:19:37]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[11:20:43]	Finan O'Conall ran 'Edit' on item 'Notepad' (#29324)
[11:20:48]	Finan O'Conall ran 'take' on item 'Notepad' (#29324)
[11:20:48]	Finan O'Conall has gained a 'Notepad' #29324.
[11:20:51]	Finan O'Conall ran 'Edit' on item 'Notepad' (#29324)
[11:20:54]	Finan O'Conall ran 'drop' on item 'Notepad' (#29324)
[11:20:54]	Finan O'Conall has lost a 'Notepad' #29324.
[11:20:56]	Finan O'Conall destroyed a 'Notepad' #29324.
[11:20:56]	Finan O'Conall destroyed a 'Notepad' #29321.
[11:21:03]	Finan O'Conall destroyed a 'Notepad' #28549.
[11:21:22]	Finan O'Conall has gained a 'Scrap Plastic' #29424.
[11:21:25]	Finan O'Conall destroyed a 'Empty Consulate Water Can' #29136.
[11:21:26]	Finan O'Conall destroyed a 'Scrap Glass' #28844.
[11:21:28]	Finan O'Conall ran 'drop' on item 'Scrap Plastic' (#29424)
[11:21:28]	Finan O'Conall has lost a 'Scrap Plastic' #29424.
[11:21:51]	Finan O'Conall opened the '' #2778 container.
[11:21:57]	Finan O'Conall closed the '' #2778 container.
[12:12:48]	matt saton has connected.
[12:19:59]	matt saton loaded the character 'Andrew Cloverman'
[12:20:04]	Andrew Cloverman entered observer.
[12:20:28]	DRD has connected.
[12:21:23]	DRD loaded the character 'CCA.C17-GRID.i1.23710'
[12:21:27]	CCA.C17-GRID.i1.23710 entered observer.
[12:21:48]	DRD loaded the character 'Paul-Henri Cartier'
[12:21:50]	Paul-Henri Cartier entered observer.
[12:22:02]	Paul-Henri Cartier exited observer at their location.
[12:22:17]	Paul-Henri Cartier used command '/CharSetModel paul models/police_nemez.mdl'.
[12:22:25]	Paul-Henri Cartier used command '/CharEditBodygroup paul'.
[12:22:39]	Paul-Henri Cartier has changed Paul-Henri Cartier's bodygroups.
[12:22:42]	Paul-Henri Cartier entered observer.
[12:22:51]	Paul-Henri Cartier ran 'Equip' on item 'SPAS-12' (#10397)
[12:22:53]	Paul-Henri Cartier ran 'Equip' on item '357' (#24576)
[12:22:55]	Paul-Henri Cartier ran 'EquipUn' on item 'SPAS-12' (#10397)
[12:22:56]	Paul-Henri Cartier ran 'Equip' on item '357' (#24576)
[12:22:57]	Paul-Henri Cartier ran 'Equip' on item 'SPAS-12' (#10397)
[12:23:37]	Andrew Cloverman exited observer at their location.
[12:23:45]	Andrew Cloverman entered observer.
[12:24:07]	Paul-Henri Cartier used command '/ToggleRaise'.
[12:24:15]	Paul-Henri Cartier exited observer at their location.
[12:24:20]	Paul-Henri Cartier entered observer.
[12:24:44]	Andrew Cloverman exited observer at their location.
[12:25:05]	Paul-Henri Cartier exited observer at their location.
[12:25:06]	Paul-Henri Cartier entered observer.
[12:25:24]	Andrew Cloverman entered observer.
[12:25:24]	Andrew Cloverman exited observer at their location.
[12:25:27]	Paul-Henri Cartier exited observer at their location.
[12:25:34]	Paul-Henri Cartier entered observer.
[12:25:41]	Paul-Henri Cartier exited observer at their location.
[12:25:41]	Andrew Cloverman entered observer.
[12:25:41]	Paul-Henri Cartier entered observer.
[12:25:42]	Andrew Cloverman exited observer at their location.
[12:25:42]	Paul-Henri Cartier exited observer at their location.
[12:25:42]	Andrew Cloverman entered observer.
[12:25:42]	Paul-Henri Cartier has taken 50 damage from worldspawn.
[12:25:42]	Paul-Henri Cartier entered observer.
[12:25:42]	Andrew Cloverman exited observer at their location.
[12:25:44]	Andrew Cloverman entered observer.
[12:25:45]	Andrew Cloverman exited observer at their location.
[12:25:49]	Andrew Cloverman entered observer.
[12:26:01]	Paul-Henri Cartier exited observer at their location.
[12:26:03]	Paul-Henri Cartier entered observer.
[12:26:05]	Paul-Henri Cartier exited observer at their location.
[12:26:06]	Paul-Henri Cartier entered observer.
[12:26:06]	Paul-Henri Cartier exited observer at their location.
[12:26:07]	Paul-Henri Cartier entered observer.
[12:26:07]	Paul-Henri Cartier exited observer at their location.
[12:26:08]	Paul-Henri Cartier entered observer.
[12:26:08]	Paul-Henri Cartier exited observer at their location.
[12:26:09]	Paul-Henri Cartier entered observer.
[12:26:10]	Paul-Henri Cartier exited observer at their location.
[12:26:11]	Paul-Henri Cartier entered observer.
[12:26:11]	Paul-Henri Cartier exited observer at their location.
[12:26:16]	Paul-Henri Cartier entered observer.
[12:26:50]	Paul-Henri Cartier exited observer at their location.
[12:26:50]	Paul-Henri Cartier entered observer.
[12:26:57]	Paul-Henri Cartier exited observer at their location.
[12:27:00]	Paul-Henri Cartier entered observer.
[12:27:12]	Paul-Henri Cartier entered observer.
[12:27:12]	Paul-Henri Cartier exited observer at their location.
[12:27:16]	Paul-Henri Cartier entered observer.
[12:27:18]	Paul-Henri Cartier entered observer.
[12:27:20]	Paul-Henri Cartier exited observer at their location.
[12:27:21]	Paul-Henri Cartier entered observer.
[12:27:22]	Paul-Henri Cartier entered observer.
[12:27:22]	Paul-Henri Cartier exited observer at their location.
[12:27:24]	Paul-Henri Cartier entered observer.
[12:27:31]	Paul-Henri Cartier exited observer at their location.
[12:27:39]	Paul-Henri Cartier has spawned 'models/xeon133/slider/slider_stand_12x12x24.mdl'.
[12:27:51]	Paul-Henri Cartier has spawned 'models/props_c17/BriefCase001a.mdl'.
[12:27:54]	Andrew Cloverman exited observer at their location.
[12:27:55]	Andrew Cloverman entered observer.
[12:27:57]	Paul-Henri Cartier entered observer.
[12:27:58]	Andrew Cloverman exited observer at their location.
[12:28:37]	Andrew Cloverman entered observer.
[12:28:39]	Andrew Cloverman exited observer at their location.
[12:28:39]	Andrew Cloverman entered observer.
[12:28:39]	Andrew Cloverman exited observer at their location.
[12:28:42]	Paul-Henri Cartier exited observer at their location.
[12:28:43]	Paul-Henri Cartier entered observer.
[12:28:43]	Paul-Henri Cartier exited observer at their location.
[12:28:48]	Paul-Henri Cartier entered observer.
[12:29:05]	Andrew Cloverman entered observer.
[12:29:09]	Andrew Cloverman exited observer at their location.
[12:29:14]	Andrew Cloverman entered observer.
[12:29:14]	Andrew Cloverman exited observer at their location.
[12:29:15]	Andrew Cloverman entered observer.
[12:29:15]	Andrew Cloverman exited observer at their location.
[12:29:16]	Andrew Cloverman entered observer.
[12:29:17]	Andrew Cloverman exited observer at their location.
[12:29:21]	Paul-Henri Cartier exited observer at their location.
[12:29:24]	Paul-Henri Cartier entered observer.
[12:29:24]	Paul-Henri Cartier exited observer at their location.
[12:29:26]	Paul-Henri Cartier entered observer.
[12:29:40]	Paul-Henri Cartier exited observer at their location.
[12:29:40]	Paul-Henri Cartier entered observer.
[12:29:40]	Paul-Henri Cartier exited observer at their location.
[12:29:43]	Paul-Henri Cartier entered observer.
[12:30:01]	Paul-Henri Cartier exited observer at their location.
[12:30:06]	DRD (STEAM_0:0:193599766) has disconnected.
[12:31:52]	FB|| light ROOM has connected.
[12:33:01]	FB|| light ROOM loaded the character 'CCA.C17-QrM.98240'
[12:33:04]	[OOC] CCA.C17-QrM.98240: yo 
[12:33:38]	Andrew Cloverman entered observer.
[12:33:39]	Andrew Cloverman exited observer at their location.
[12:33:41]	Andrew Cloverman entered observer.
[12:33:42]	Andrew Cloverman exited observer at their location.
[12:33:46]	Andrew Cloverman entered observer.
[12:33:46]	Andrew Cloverman exited observer at their location.
[12:34:42]	Andrew Cloverman entered observer.
[12:34:51]	[OOC] Andrew Cloverman: where did DRd go
[12:34:54]	[OOC] CCA.C17-QrM.98240: No clue 
[12:35:01]	[OOC] CCA.C17-QrM.98240: Q did you look at my addons I suggested ;-;
[12:35:11]	[OOC] Andrew Cloverman: i'm listening to my lecture and propping while i'm doing it now
[12:35:12]	[OOC] Andrew Cloverman: no*
[12:35:17]	[OOC] CCA.C17-QrM.98240: sad 
[12:35:26]	[OOC] Andrew Cloverman: that said i am unable to GM for now
[12:35:45]	Andrew Cloverman exited observer at their location.
[12:35:46]	Andrew Cloverman entered observer.
[12:35:51]	Andrew Cloverman exited observer at their location.
[12:36:01]	Andrew Cloverman has spawned 'models/combinefortification/personalbarricade.mdl'.
[12:36:22]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[12:36:26]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[12:36:35]	Andrew Cloverman entered observer.
[12:36:37]	Andrew Cloverman exited observer at their location.
[12:36:38]	Andrew Cloverman entered observer.
[12:36:41]	Andrew Cloverman exited observer at their location.
[12:36:51]	Andrew Cloverman entered observer.
[12:36:55]	Andrew Cloverman exited observer at their location.
[12:37:11]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[12:37:13]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short03a.mdl'.
[12:37:15]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:37:36]	Andrew Cloverman has spawned 'models/props_combine/combine_binocular01.mdl'.
[12:37:38]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:37:50]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:38:01]	CCA.C17-QrM.98240 has gained 10 tokens.
[12:38:08]	[OOC] Andrew Cloverman: this guy sounds like sargon of akkad in that he's talking for way too long about some bullshit not at all related to the topic at hand
[12:38:19]	[OOC] Andrew Cloverman: unlike sargon of akkad my professor is not a sexist 
[12:38:25]	Andrew Cloverman entered observer.
[12:38:27]	Andrew Cloverman exited observer at their location.
[12:38:30]	[OOC] Andrew Cloverman: at least to my knowledge
[12:38:34]	Andrew Cloverman has spawned 'models/props_combine/combine_light002a.mdl'.
[12:38:36]	Andrew Cloverman has spawned 'models/props_combine/combine_light001b.mdl'.
[12:38:38]	Andrew Cloverman has spawned 'models/props_combine/combine_light001a.mdl'.
[12:38:38]	[OOC] CCA.C17-QrM.98240: Ah, I see 
[12:38:50]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:38:55]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:39:12]	[OOC] CCA.C17-QrM.98240: I love my doc I made for KILO because it's basically just saying. "Yeah these guys are fucking stupid and weird, but they do their job well so we let it slide"
[12:39:37]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short01a.mdl'.
[12:39:39]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short03a.mdl'.
[12:39:49]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short03a.mdl'.
[12:39:51]	Andrew Cloverman has spawned 'models/props_combine/combine_barricade_short03a.mdl'.
[12:39:57]	FB|| light ROOM loaded the character 'OTA.C17-KILO.OSS.66124'
[12:39:58]	OTA.C17-KILO.OSS.66124 has taken 86 damage from worldspawn.
[12:39:58]	OTA.C17-KILO.OSS.66124 has taken 100 damage from nexus_upperelevator.
[12:39:58]	nexus_upperelevator has killed OTA.C17-KILO.OSS.66124.
[12:40:04]	[OOC] OTA.C17-KILO.OSS.66124: making a PAC, ignore my existence 
[12:40:13]	[OOC] Andrew Cloverman: i'm like
[12:40:15]	OTA.C17-KILO.OSS.66124 ran 'Equip' on item 'HMG2 (Overwatch Suppression Issue HMG)' (#10294)
[12:40:16]	OTA.C17-KILO.OSS.66124 ran 'Equip' on item 'HMG2 (Overwatch Suppression Issue HMG)' (#10294)
[12:40:19]	[OOC] Andrew Cloverman: questioning if this is my astronomy class and not my busienss class
[12:40:25]	[OOC] Andrew Cloverman: but nope
[12:40:27]	[OOC] Andrew Cloverman: i just lookat it
[12:40:28]	[OOC] OTA.C17-KILO.OSS.66124: I can't equip my HMG 
[12:40:29]	[OOC] OTA.C17-KILO.OSS.66124: Hmmmm
[12:40:30]	[OOC] Andrew Cloverman: this is in fact my astronomy lecture
