[16:35:32]	NamRm has connected.
[16:37:00]	DRD has connected.
[16:37:23]	Chicken has connected.
[16:38:26]	NamRm loaded the character 'Simone Evans'
[16:39:50]	Chicken loaded the character 'Achille 'Tucker' Tristram'
[16:40:28]	Chicken loaded the character 'Sandra Remez'
[16:40:47]	DRD loaded the character 'CCA.C17-GRID.i2.36307'
[16:40:59]	CCA.C17-GRID.i2.36307 ran 'Equip' on item 'MP7' (#35509)
[16:41:00]	CCA.C17-GRID.i2.36307 ran 'Equip' on item '.9mm Pistol' (#35504)
[16:41:06]	CCA.C17-GRID.i2.36307 opened the '' #2483 container.
[16:41:08]	CCA.C17-GRID.i2.36307 closed the '' #2483 container.
[16:41:20]	CCA.C17-GRID.i2.36307 ran 'Equip' on item 'Combat Knife' (#28202)
[16:41:55]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:42:27]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:42:28]	CCA.C17-GRID.i2.36307 has taken 7 damage from Sandra Remez.
[16:42:28]	Sandra Remez has taken 35 damage from CCA.C17-GRID.i2.36307.
[16:42:28]	CCA.C17-GRID.i2.36307 has killed Sandra Remez with ix_stunstick.
[16:42:36]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:42:56]	CCA.C17-GRID.i2.36307 ran 'View' on item 'Notepad' (#31175)
[16:43:35]	CCA.C17-GRID.i2.36307 opened the '' #2483 container.
[16:43:37]	CCA.C17-GRID.i2.36307 closed the '' #2483 container.
[16:43:40]	Simone Evans opened the '' #2483 container.
[16:43:42]	Simone Evans closed the '' #2483 container.
[16:44:14]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:44:31]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureCouch001a.mdl'.
[16:44:34]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence04a.mdl'.
[16:44:37]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:44:41]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:44:49]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:44:52]	NamRm loaded the character 'Andre Black'
[16:45:10]	[OOC] CCA.C17-GRID.i2.36307: i gotta let your char out lmao
[16:45:17]	[OOC] Andre Black: dont hurt me then
[16:45:20]	[OOC] CCA.C17-GRID.i2.36307: ok
[16:45:23]	NamRm loaded the character 'Simone Evans'
[16:45:27]	[OOC] CCA.C17-GRID.i2.36307: did you take any armour
[16:45:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[16:46:16]	Simone Evans has taken 5 damage from CCA.C17-GRID.i2.36307.
[16:46:20]	Simone Evans has taken 5 damage from CCA.C17-GRID.i2.36307.
[16:46:20]	Simone Evans has taken 5 damage from CCA.C17-GRID.i2.36307.
[16:46:22]	Simone Evans has taken 2 damage from CCA.C17-GRID.i2.36307.
[16:46:22]	NamRm loaded the character 'Daniel Sawyer'
[16:46:30]	NamRm loaded the character 'Andre Black'
[16:46:39]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:46:41]	NamRm loaded the character 'Simone Evans'
[16:46:57]	Simone Evans has taken 5 damage from CCA.C17-GRID.i2.36307.
[16:47:15]	Simone Evans ran 'Equip' on item 'Pan' (#33928)
[16:47:20]	CCA.C17-GRID.i2.36307 ran 'Equip' on item 'Grenade' (#35615)
[16:47:21]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:47:31]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[16:47:41]	Chicken (STEAM_0:0:143523274) has disconnected.
[16:47:53]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:08]	Simone Evans has taken 500 damage from CCA.C17-GRID.i2.36307.
[16:48:08]	CCA.C17-GRID.i2.36307 has killed Simone Evans with weapon_physgun.
[16:48:12]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:26]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:36]	CCA.C17-GRID.i2.36307 has taken 23 damage from worldspawn.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
[16:48:42]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/fence03a.mdl'.
