[00:02:50]	Bean has connected.
[00:03:28]	Bean loaded the character 'Alex Palovichov'
[00:03:34]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[00:03:38]	Alex Palovichov ran 'take' on item 'Cloth Scrap' (#24651)
[00:03:38]	Alex Palovichov has gained a 'Cloth Scrap' #24651.
[00:03:39]	Alex Palovichov ran 'take' on item 'Cloth Scrap' (#24884)
[00:03:39]	Alex Palovichov has gained a 'Cloth Scrap' #24884.
[00:03:40]	Alex Palovichov ran 'take' on item 'Sewing Kit' (#25663)
[00:03:40]	Alex Palovichov has gained a 'Sewing Kit' #25663.
[00:09:37]	Alex Palovichov has gained a 'Rubber Tire' #27389.
[00:09:40]	Alex Palovichov ran 'drop' on item 'Rubber Tire' (#27389)
[00:09:40]	Alex Palovichov has lost a 'Rubber Tire' #27389.
[00:09:43]	Alex Palovichov destroyed a 'Rubber Tire' #27389.
[00:09:44]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:09:44]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:09:45]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:09:53]	Alex Palovichov has gained a 'Empty Sparkling Consulate Water Can' #27389.
[00:09:57]	Alex Palovichov has gained a 'Scrap Metal' #27389.
[00:10:08]	Alex Palovichov has gained a 'Boot' #27390.
[00:10:09]	Alex Palovichov ran 'Attach' on item 'Pin' (#27388)
[00:10:14]	Alex Palovichov ran 'drop' on item 'Boot' (#27390)
[00:10:14]	Alex Palovichov has lost a 'Boot' #27390.
[00:10:15]	Alex Palovichov destroyed a 'Boot' #27390.
[00:10:40]	Alex Palovichov has gained a 'Scrap Glass' #27390.
[00:10:58]	Alex Palovichov has gained a 'Minimum Grade Supplements (No Flavor)' #27391.
[00:11:13]	Alex Palovichov has gained a 'Capacitors' #27392.
[00:11:14]	Alex Palovichov ran 'drop' on item 'Capacitors' (#27392)
