[13:00:36]	matt saton has connected.
[13:10:57]	matt saton loaded the character 'Wallace Breen'
[13:11:00]	Wallace Breen entered observer.
[13:11:03]	Wallace Breen exited observer at their location.
[13:11:04]	Wallace Breen entered observer.
[13:11:06]	Wallace Breen exited observer at their location.
[13:11:09]	Wallace Breen entered observer.
[13:11:13]	Wallace Breen exited observer at their location.
[13:11:15]	Wallace Breen entered observer.
[13:11:16]	Wallace Breen exited observer at their location.
[13:11:18]	Wallace Breen entered observer.
[13:11:21]	Wallace Breen exited observer at their location.
[13:11:24]	Wallace Breen entered observer.
[13:11:25]	Wallace Breen exited observer at their location.
[13:11:25]	Wallace Breen entered observer.
[13:11:26]	Wallace Breen exited observer at their location.
[13:11:29]	Wallace Breen has taken 72 damage from worldspawn.
[13:11:31]	Wallace Breen entered observer.
[13:11:37]	Wallace Breen exited observer at their location.
[13:11:40]	Wallace Breen entered observer.
[13:11:41]	Wallace Breen exited observer at their location.
[13:11:47]	Wallace Breen entered observer.
[13:11:47]	Wallace Breen exited observer at their location.
[13:15:57]	Wallace Breen has gained 50 tokens.
[13:17:29]	Wallace Breen entered observer.
[13:17:29]	Wallace Breen has spawned a 'NPC [3193][monster_bullsquid]'.
[13:17:39]	Wallace Breen used command '/ToggleRaise'.
[13:18:38]	Wallace Breen used command '/ToggleRaise'.
[13:18:39]	Wallace Breen exited observer at their location.
[13:18:44]	Wallace Breen entered observer.
[13:18:49]	Wallace Breen has spawned a 'NPC [3195][monster_bullsquid]'.
[13:19:16]	Wallace Breen exited observer at their location.
[13:22:44]	matt saton loaded the character 'Joseph Kimsler'
[13:22:45]	Joseph Kimsler entered observer.
[13:39:19]	Razor has connected.
[13:40:23]	Razor (STEAM_0:0:194919430) has disconnected.
[14:58:35]	FB|| light ROOM has connected.
[14:59:04]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[14:59:28]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to Outpost storm Barracks.'.
[14:59:29]	[OOC] CCA.C14-UNION.EpU.72633: Yo
[15:00:23]	CCA.C14-UNION.EpU.72633 used command '/ViewCamera'.
[15:01:23]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7, status is green.'.
[15:01:27]	CCA.C14-UNION.EpU.72633 used command '/ViewObjectives'.
[15:02:29]	FB|| light ROOM loaded the character 'Journey Robertson'
[15:02:54]	Journey Robertson has taken 5 damage from npc_headcrab.
[15:46:06]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[15:52:32]	nullptr has connected.
[15:52:49]	nullptr loaded the character 'James Icarus'
[15:54:23]	[OOC] Joseph Kimsler: Welcome, James! Sorry, I jmsut got home from some shopping. welcome to the server
[15:54:36]	matt saton loaded the character 'CCA.C14-GRID.i3.69192'
[15:54:37]	CCA.C14-GRID.i3.69192 entered observer.
[15:54:40]	CCA.C14-GRID.i3.69192 exited observer at their location.
[15:54:47]	[OOC] James Icarus: I've been here before
