[10:35:05]	japan1793 has connected.
[10:37:51]	japan1793 (STEAM_0:1:534723608) has disconnected.
[19:52:18]	Death Razor has connected.
[19:52:55]	LynxQueen has connected.
[19:54:17]	LynxQueen loaded the character 'Merissa Myers'
[19:54:36]	Death Razor loaded the character 'Andrew 'Razor' Gonzalez'
[19:54:55]	[OOC] Andrew 'Razor' Gonzalez: She take my dinero
[19:55:04]	[OOC] Merissa Myers: what
[19:55:12]	[OOC] Merissa Myers: i need to turn of the fuckin uhh
[19:55:13]	[OOC] Merissa Myers: shiny
[19:55:16]	[OOC] Andrew 'Razor' Gonzalez: tiktok get out of my head
[19:55:18]	Merissa Myers ran 'EquipUn' on item 'Green Citizen Suit' (#13037)
[19:56:09]	Andrew 'Razor' Gonzalez ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#14171)
[19:57:12]	[ME] Andrew 'Razor' Gonzalez: pulls up a seat, putting his hands on the table gently
[19:57:38]	LynxQueen loaded the character 'Chloe Cullen'
[19:57:44]	[OOC] Andrew 'Razor' Gonzalez: Nicee
[19:59:11]	[ME] Andrew 'Razor' Gonzalez: looks at it, shaking his head
[19:59:23]	[LOOC] Andrew 'Razor' Gonzalez: I'm AFK
[19:59:37]	[LOOC] Andrew 'Razor' Gonzalez: cunt
[19:59:53]	[LOOC] Chloe Cullen: forgot looc is a thing
[19:59:56]	[LOOC] Chloe Cullen: unironically.
[19:59:58]	Andrew 'Razor' Gonzalez ran 'View' on item 'Notepad' (#14318)
[20:00:04]	Sgt. Salvador has connected.
[20:00:06]	Andrew 'Razor' Gonzalez ran 'View' on item 'Notepad' (#14318)
[20:00:38]	Sgt. Salvador loaded the character 'Drake Salvador'
[20:00:42]	Drake Salvador ran 'Equip' on item 'Green Citizen Suit' (#13989)
[20:00:50]	[ME] Andrew 'Razor' Gonzalez: sets the tokens onto the table
[20:00:55]	Andrew 'Razor' Gonzalez ran 'View' on item 'Notepad' (#14318)
[20:01:00]	Chloe Cullen used the 'John Doe' vendor.
[20:01:01]	Andrew 'Razor' Gonzalez has lost 20 tokens.
[20:01:01]	Andrew 'Razor' Gonzalez used command '/DropTokens 20'.
[20:01:05]	Chloe Cullen used the 'John Doe' vendor.
[20:01:09]	Chloe Cullen has gained 0 tokens.
[20:01:09]	Chloe Cullen has gained a 'UU Brand Lager' #14319.
[20:01:11]	Drake Salvador ran 'View' on item 'Notepad' (#13966)
[20:01:16]	Chloe Cullen has gained 20 tokens.
[20:01:18]	Chloe Cullen ran 'View' on item 'Notepad' (#14318)
[20:01:42]	Chloe Cullen ran 'drop' on item 'UU Brand Lager' (#14319)
[20:01:42]	Chloe Cullen has lost a 'UU Brand Lager' #14319.
[20:01:56]	[LOOC] Chloe Cullen: you got the one item that is broken.
[20:02:02]	[LOOC] Andrew 'Razor' Gonzalez: fuck
[20:02:11]	Andrew 'Razor' Gonzalez ran 'take' on item 'UU Brand Lager' (#14319)
[20:02:11]	Andrew 'Razor' Gonzalez has gained a 'UU Brand Lager' #14319.
[20:02:51]	[ME] Andrew 'Razor' Gonzalez: would grab the lager, taking a swig as he sets his book down onto the table, nodding
[20:03:01]	Chloe Cullen ran 'View' on item 'Notepad' (#13965)
[20:03:22]	[ME] Andrew 'Razor' Gonzalez: opens up his Bible, reading where he left off
[20:03:47]	Andrew 'Razor' Gonzalez ran 'Consume' on item 'UU Brand Lager' (#14319)
[20:03:47]	Andrew 'Razor' Gonzalez has gained a 'Empty Glass Bottle' #14320.
