[14:11:12]	matt saton has connected.
[14:16:27]	matt saton loaded the character 'The Consul'
[14:16:30]	The Consul entered observer.
[14:16:44]	The Consul exited observer at their location.
[14:16:44]	The Consul entered observer.
[14:16:46]	The Consul exited observer at their location.
[14:16:49]	The Consul entered observer.
[14:16:50]	The Consul exited observer at their location.
[14:16:51]	The Consul entered observer.
[14:16:51]	The Consul exited observer at their location.
[14:16:54]	The Consul entered observer.
[14:16:56]	The Consul exited observer at their location.
[14:16:58]	The Consul entered observer.
[14:16:59]	The Consul exited observer at their location.
[14:16:59]	The Consul entered observer.
[14:17:00]	The Consul exited observer at their location.
[14:17:02]	The Consul entered observer.
[14:17:02]	The Consul exited observer at their location.
[14:17:08]	The Consul entered observer.
[14:17:10]	The Consul exited observer at their location.
[14:17:16]	The Consul entered observer.
[14:17:17]	The Consul exited observer at their location.
[14:17:17]	The Consul entered observer.
[14:17:19]	The Consul exited observer at their location.
[14:17:27]	The Consul has taken 1 damage from worldspawn.
[14:17:28]	The Consul has taken 1 damage from worldspawn.
[14:17:28]	The Consul has taken 1 damage from worldspawn.
[14:17:29]	The Consul has taken 1 damage from worldspawn.
[14:17:30]	The Consul has taken 1 damage from worldspawn.
[14:17:59]	matt saton loaded the character 'Anne Wayle'
[14:18:01]	Anne Wayle has taken 127 damage from worldspawn.
[14:18:01]	worldspawn has killed Anne Wayle.
[14:18:09]	Anne Wayle entered observer.
[14:18:10]	Anne Wayle exited observer at their location.
[14:18:11]	Anne Wayle entered observer.
[14:18:11]	Anne Wayle exited observer at their location.
[14:18:13]	Anne Wayle entered observer.
[14:18:17]	Anne Wayle exited observer at their location.
[14:18:24]	Anne Wayle entered observer.
[14:18:24]	Anne Wayle exited observer at their location.
[14:18:30]	Anne Wayle entered observer.
[14:18:31]	Anne Wayle exited observer at their location.
[14:18:32]	Anne Wayle entered observer.
[14:18:47]	Anne Wayle exited observer at their location.
[14:19:02]	Anne Wayle has taken 5 damage from Anne Wayle.
[14:19:02]	Anne Wayle has gained 10 tokens.
[14:19:06]	Anne Wayle entered observer.
[14:19:20]	Anne Wayle exited observer at their location.
[14:19:20]	Anne Wayle entered observer.
[14:19:21]	Anne Wayle exited observer at their location.
[14:19:21]	Anne Wayle entered observer.
[14:19:26]	Anne Wayle exited observer at their location.
[14:19:29]	Anne Wayle used the 'General Store Manager' vendor.
[14:19:31]	Anne Wayle entered observer.
[14:19:31]	Anne Wayle exited observer at their location.
[14:19:33]	Anne Wayle entered observer.
[14:19:34]	Anne Wayle exited observer at their location.
[14:19:35]	Anne Wayle used the 'General Store Manager' vendor.
[14:19:46]	Anne Wayle entered observer.
[14:19:49]	Anne Wayle exited observer at their location.
[14:19:49]	Anne Wayle entered observer.
[14:19:49]	Anne Wayle exited observer at their location.
[14:19:50]	Anne Wayle entered observer.
[14:20:00]	Anne Wayle exited observer at their location.
[14:20:26]	Anne Wayle entered observer.
[14:21:18]	Anne Wayle exited observer at their location.
[14:21:22]	Anne Wayle entered observer.
[14:21:24]	Anne Wayle exited observer at their location.
[14:21:34]	Anne Wayle entered observer.
[14:22:02]	Anne Wayle exited observer at their location.
[14:22:14]	Anne Wayle entered observer.
[14:22:16]	Anne Wayle exited observer at their location.
[14:22:19]	Anne Wayle used command '/ToggleRaise'.
[14:22:23]	Anne Wayle entered observer.
[14:22:24]	Anne Wayle used command '/ToggleRaise'.
[14:22:56]	Anne Wayle exited observer at their location.
