[10:31:23]	matt saton has connected.
[10:32:44]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[10:32:51]	CCA.C17-GRID.i3.10945 entered observer.
[10:32:53]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:32:56]	CCA.C17-GRID.i3.10945 used command '/AddTenant grid'.
[10:33:03]	CCA.C17-GRID.i3.10945 used command '/RemoveTenant 1'.
[10:33:03]	CCA.C17-GRID.i3.10945 entered observer.
[10:33:25]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:33:34]	CCA.C17-GRID.i3.10945 used command '/DoorSetTitle 2A'.
[10:33:36]	CCA.C17-GRID.i3.10945 used command '/DoorSetTitle 2B'.
[10:33:37]	CCA.C17-GRID.i3.10945 entered observer.
[10:33:39]	CCA.C17-GRID.i3.10945 used command '/DoorSetTitle 2c'.
[10:33:42]	CCA.C17-GRID.i3.10945 used command '/DoorSetTitle 2C'.
[10:33:43]	CCA.C17-GRID.i3.10945 used command '/DoorSetTitle 2C'.
[10:33:46]	CCA.C17-GRID.i3.10945 used command '/DoorSetTitle 2D'.
[10:33:53]	CCA.C17-GRID.i3.10945 used command '/RemoveTenant 1'.
[10:34:24]	[Y] CCA.C17-GRID.i3.10945: <:: TEST. ::>
[10:34:52]	[MEY] CCA.C17-GRID.i3.10945: test
[10:34:54]	[Y] CCA.C17-GRID.i3.10945: <:: Test. ::>
[10:37:44]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:39:05]	[Y] CCA.C17-GRID.i3.10945: <:: Test. ::>
[10:39:08]	[W] CCA.C17-GRID.i3.10945: <:: Test. ::>
[10:40:36]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:40:42]	CCA.C17-GRID.i3.10945 has spawned 'models/hunter/blocks/cube2x6x025.mdl'.
[10:40:46]	CCA.C17-GRID.i3.10945 has spawned 'models/hunter/plates/plate2x5.mdl'.
[10:40:48]	CCA.C17-GRID.i3.10945 has spawned 'models/hunter/plates/plate2x4.mdl'.
[10:40:54]	CCA.C17-GRID.i3.10945 entered observer.
[10:41:28]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:42:21]	CCA.C17-GRID.i3.10945 entered observer.
[10:42:22]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:42:23]	CCA.C17-GRID.i3.10945 entered observer.
[10:42:23]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:42:24]	CCA.C17-GRID.i3.10945 entered observer.
[10:42:25]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:42:25]	CCA.C17-GRID.i3.10945 entered observer.
[10:42:26]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:42:27]	CCA.C17-GRID.i3.10945 entered observer.
[10:43:08]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:43:08]	CCA.C17-GRID.i3.10945 entered observer.
[10:43:12]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:43:15]	CCA.C17-GRID.i3.10945 has spawned a 'Entity [4333][ix_vortlight]'.
[10:43:16]	CCA.C17-GRID.i3.10945 has spawned a 'Entity [4334][ix_vendingmachine]'.
[10:43:19]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[10:43:21]	CCA.C17-GRID.i3.10945 entered observer.
[10:43:31]	CCA.C17-GRID.i3.10945 exited observer at their location.
[10:43:50]	CCA.C17-GRID.i3.10945 has spawned a 'Entity [4333][ix_searchdumpster]'.
