[00:50:33]	Mr.Ganar has connected.
[00:50:54]	Mr.Ganar (STEAM_0:0:80909581) has disconnected.
[03:53:31]	[DG] Roach has connected.
[05:35:47]	[DG] Roach (STEAM_0:0:170921441) has disconnected (timed out).
[07:26:19]	Dilly_ has connected.
[07:27:07]	Dilly_ loaded the character 'Douglas Hudson'
[07:27:12]	[OOC] Douglas Hudson: test
[07:27:54]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[07:33:20]	Dilly_ has connected.
[07:34:54]	Dilly_ loaded the character 'Douglas Hudson'
[07:35:41]	Dilly_ loaded the character 'CCA.C17-UNION.EpU.93347'
[07:36:31]	CCA.C17-UNION.EpU.93347 ran 'View' on item 'Paper' (#26870)
[07:37:25]	Dilly_ loaded the character 'Douglas Hudson'
[07:55:13]	Dilly_ loaded the character 'CCA.C17-UNION.EpU.93347'
[07:56:05]	Dilly_ loaded the character 'Douglas Hudson'
[08:13:52]	_--Ashley--_ has connected.
[08:14:48]	_--Ashley--_ loaded the character 'Ashley Adams'
[08:15:11]	Ashley Adams used command '/BecomeClass CWU'.
[08:16:32]	Ashley Adams destroyed a 'Empty Glass Bottle' #24208.
[08:16:33]	Ashley Adams destroyed a 'Rock' #25679.
[08:17:29]	Ashley Adams ran 'drop' on item 'Spark Plug' (#25277)
[08:17:29]	Ashley Adams has lost a 'Spark Plug' #25277.
[08:17:41]	Ashley Adams destroyed a 'Spark Plug' #25277.
[08:18:13]	Ashley Adams has gained a 'Screw Nuts' #27514.
[08:18:17]	Ashley Adams has gained a 'Pliers' #27515.
[08:18:20]	Ashley Adams ran 'drop' on item 'Screw Nuts' (#27514)
[08:18:20]	Ashley Adams has lost a 'Screw Nuts' #27514.
[08:18:20]	Ashley Adams ran 'drop' on item 'Pliers' (#27515)
[08:18:20]	Ashley Adams has lost a 'Pliers' #27515.
[08:18:27]	Ashley Adams destroyed a 'Pliers' #27515.
[08:18:29]	Ashley Adams destroyed a 'Screw Nuts' #27514.
