[10:53:25]	matt saton has connected.
[10:54:28]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[10:54:31]	CCA.C08-UNION.i1.51023 entered observer.
[10:54:43]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:54:44]	CCA.C08-UNION.i1.51023 entered observer.
[10:54:45]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:54:47]	CCA.C08-UNION.i1.51023 entered observer.
[10:55:09]	CCA.C08-UNION.i1.51023 exited observer at their location.
[10:55:14]	CCA.C08-UNION.i1.51023 entered observer.
[11:07:15]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:07:15]	CCA.C08-UNION.i1.51023 entered observer.
[11:07:59]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:07:59]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:00]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:00]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:01]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:02]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:02]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:03]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:04]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:13]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:15]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:15]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:16]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:17]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:17]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:18]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:19]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:20]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:21]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:22]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:22]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:08:23]	CCA.C08-UNION.i1.51023 entered observer.
[11:08:24]	CCA.C08-UNION.i1.51023 exited observer at their location.
[11:09:28]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[11:28:17]	CCA.C08-UNION.i1.51023 entered observer.
[11:37:00]	Jorgen_Skog has connected.
[11:39:21]	Jorgen_Skog created the character 'Akulov Shepherd'
